player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,nationality,tm_position,tm_photo,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Yanis Da Rocha,Braga,MF,21.0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769,0.0,0.0,200000.0,0,0.0,0.0,0.0,0.0,0,0,0,,,36,1.0588235294117647,0.6326530612244897,64,1.8823529411764703,0.5967741935483871,6.5,85.71,66.67,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,1.487603305785124,0.0,0.0,0.0,2.2314049586776856,0.0,0.0,1.487603305785124,0.0,0.743801652892562,0.0,2.975206611570248,0.0,0.0,0.0,0.0,0.0,0.0,4.0,121.0,Portugal,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/1073115-1689275379.jpg?lm=1,yanis da rocha,2030-06-30,1073115.0,2026-07-08T07:42:03,2025-07-01,
Abdu Conté,Casa Pia,"MF,DF",27.0,1426,0.0,0.13,0.44,0.0,5.063,0.316,1.139,1.899,1.076,0.063,700000.0,0,0.0,0.13,0.39,0.44,0,0,2,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.84,77.46,33.9,25.93,76.47,68.0,55.56,53.4,53.57,1.0647181628392484,0.313152400835073,2.755741127348643,0.0626304801670146,0.1252609603340292,0.3757828810020877,4.384133611691023,0.313152400835073,1.0647181628392484,3.444676409185804,0.1252609603340292,0.1252609603340292,0.81419624217119,6.51356993736952,0.0,2.0,0.0,0.0,0.0,0.0,22.0,1437.0,Portugal,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/337798-1522748269.jpg?lm=1,abdu conte,2028-06-30,337798.0,2026-07-08T07:42:55,2025-08-29,
Abdu Dafe,Casa Pia,,18.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Portugal,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,abdu dafe,,,,,
André Geraldes,Casa Pia,"DF,MF",34.0,1996,0.0,0.0,0.05,0.05,0.495,0.541,0.405,1.126,0.541,0.045,150000.0,0,0.0,0.0,0.0,0.05,0,0,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.48,81.6,40.2,8.33,58.33,27.27,42.42,50.0,47.83,0.1345962113659023,0.0,4.8005982053838485,0.0,0.5383848454636092,0.5832502492522433,2.602193419740778,0.6281156530408774,0.2691924227318046,1.839481555333998,0.1794616151545364,0.0448654037886341,0.3140578265204387,3.3200398803589235,0.0,5.0,0.0,0.0,0.0,0.0,26.0,2006.0,Portugal,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/154319-1653327686.png?lm=1,andre geraldes,2027-06-30,154319.0,2026-07-08T07:42:55,2023-07-01,
Cassiano,Casa Pia,FW,36.0,1875,0.19,0.0,1.39,0.58,0.192,0.144,0.577,2.452,2.548,0.433,150000.0,0,0.19,0.0,0.0,1.39,0,4,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.55,55.0,38.46,25.0,30.77,54.55,37.95,47.1,42.0,0.4779607010090281,0.0477960701009028,1.051513542219862,0.1433882103027084,0.1433882103027084,0.1433882103027084,2.150823154540627,3.5369091874668084,0.5735528412108338,3.4891131173659056,0.0,0.4301646309081253,0.1911842804036112,2.9633563462559747,0.0,1.0,0.0,0.0,0.0,0.0,31.0,1883.0,Brazil,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/238367-1705756565.jpg?lm=1,cassiano,2026-06-30,238367.0,2026-07-08T07:42:55,2024-09-01,
Claudio Mendes,Casa Pia,FW,24.0,287,0.31,0.0,2.82,1.25,0.938,0.938,0.312,4.688,3.438,2.812,100000.0,0,0.31,0.0,0.0,2.82,0,1,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.37,47.73,0.0,0.0,0.0,100.0,40.0,31.58,34.92,0.0,0.0,1.881533101045296,0.0,0.313588850174216,0.940766550522648,3.449477351916376,3.1358885017421603,0.313588850174216,3.763066202090592,0.0,0.313588850174216,0.0,1.254355400696864,0.0,0.0,0.0,0.0,0.0,0.0,13.0,287.0,Guinea-Bissau,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/699501-1700153657.png?lm=1,claudio mendes,,,,,
Dailon Livramento,Casa Pia,"FW,MF",24.0,944,0.0,0.1,2.1,0.67,1.238,0.19,0.19,1.619,0.857,0.571,800000.0,0,0.0,0.1,0.3,2.1,0,0,1,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.48,61.43,50.0,16.67,55.56,40.0,43.37,37.1,40.69,0.9355509355509356,0.1871101871101871,0.9355509355509356,0.3742203742203742,0.0,0.1871101871101871,2.713097713097713,3.3679833679833684,0.1871101871101871,2.151767151767152,0.0,0.5613305613305614,0.9355509355509356,3.4615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,24.0,962.0,Cape Verde,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/676411-1780406426.jpg?lm=1,dailon livramento,,,,,
Daniel Azevedo,Casa Pia,GK,27.0,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0,0.0,0.0,0.0,0.0,0,0,0,50.0,0.0,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.5,71.74,44.68,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,2.903225806451613,0.0,0.0,0.0,6.221198156682028,0.4147465437788019,0.0,0.0,0.8294930875576038,0.0,0.0,1.6589861751152075,2.903225806451613,0.0,0.0,1.6589861751152075,1.2442396313364057,0.0,3.0,217.0,Portugal,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/383008-1537438714.jpg?lm=1,daniel azevedo,2027-06-30,383008.0,2026-07-08T07:42:55,2024-01-15,
David Sousa,Casa Pia,DF,24.0,2264,0.08,0.0,0.76,0.2,0.278,1.825,1.27,1.667,0.437,0.0,1000000.0,0,0.08,0.0,0.0,0.76,0,2,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.63,75.55,39.07,14.29,62.5,65.22,63.72,50.0,56.54,0.2781456953642384,0.0,6.437086092715232,0.1986754966887417,0.5562913907284768,1.748344370860927,3.774834437086093,2.8609271523178808,1.1920529801324502,2.463576158940397,0.0794701986754966,0.119205298013245,0.1986754966887417,3.5761589403973506,0.0,4.0,0.0,0.0,0.0,0.0,26.0,2265.0,Brazil,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/740159-1709824940.png?lm=1,david sousa,2028-06-30,740159.0,2026-07-08T07:42:55,2025-08-07,
Duplexe Tchamba,Casa Pia,DF,27.0,415,0.22,0.0,1.08,0.22,0.217,2.391,0.87,0.435,1.087,0.0,800000.0,0,0.22,0.0,0.0,1.08,0,1,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.66,73.44,29.31,0.0,100.0,80.0,58.82,63.16,61.11,0.2163461538461538,0.0,6.70673076923077,0.2163461538461538,1.9471153846153848,2.3798076923076925,3.8942307692307696,2.1634615384615388,0.8653846153846154,2.5961538461538463,0.6490384615384616,0.0,0.4326923076923077,4.110576923076923,0.0,1.0,0.0,0.0,0.0,0.0,5.0,416.0,Cameroon,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/490760-1663601272.png?lm=1,duplexe tchamba,,,,,
Fahem Benaissa Yahia,Casa Pia,"MF,DF",23.0,550,0.0,0.0,0.33,0.0,3.77,0.82,1.967,1.803,0.492,0.0,700000.0,0,0.0,0.0,0.0,0.33,0,0,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.58,75.66,14.29,30.43,50.0,65.0,73.33,57.14,60.94,0.9557522123893806,0.3185840707964602,3.345132743362832,0.0,0.0,0.6371681415929203,6.371681415929204,1.752212389380531,2.070796460176992,4.460176991150442,0.0,0.6371681415929203,0.7964601769911505,4.460176991150442,0.0,1.0,0.0,0.0,0.0,0.0,10.0,565.0,France,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/805864-1669164646.png?lm=1,fahem benaissa yahia,,,,,
Francisco Kiki,Casa Pia,MF,27.0,5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,200000.0,0,0.0,0.0,0.0,0.0,0,0,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.6,33.33,0.0,0.0,0.0,100.0,0.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,11.25,0.0,0.0,0.0,5.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,Portugal,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/529730-1537888537.jpg?lm=1,francisco kiki,,,,,
Iyad Mohamed,Casa Pia,MF,24.0,952,0.09,0.0,0.28,0.09,1.981,1.887,1.415,3.208,0.377,0.0,400000.0,0,0.09,0.0,0.0,0.28,0,1,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.63,75.43,43.59,31.82,61.54,56.0,46.67,41.11,42.5,0.7422680412371133,0.0927835051546391,3.154639175257732,0.0,0.2783505154639175,1.670103092783505,4.639175257731958,1.2989690721649485,1.2989690721649485,3.4329896907216493,0.0,0.0927835051546391,0.7422680412371133,5.9381443298969065,0.0,0.0,0.0,0.0,0.0,0.0,22.0,970.0,Comoros,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/805065-1643894860.jpg?lm=1,iyad mohamed,2027-06-30,805065.0,2026-07-08T07:42:55,2025-02-03,
José Fonte,Casa Pia,DF,41.0,1438,0.06,0.0,0.56,0.19,0.125,0.812,0.438,0.875,0.312,0.0,100000.0,0,0.06,0.0,0.0,0.56,0,1,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.68,83.1,45.45,0.0,66.67,70.0,73.61,45.16,65.05,0.1877607788595271,0.062586926286509,6.884561891515994,0.125173852573018,1.0639777468706535,0.8136300417246175,2.2531293463143256,3.31710709318498,0.4381084840055633,0.8762169680111266,0.2503477051460361,0.0,0.125173852573018,2.378303198887344,0.0,3.0,0.0,0.0,0.0,0.0,18.0,1438.0,Portugal,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/33829-1666690457.jpg?lm=1,jose fonte,,,,,
João Goulart Silva,Casa Pia,DF,25.0,1916,0.05,0.0,0.28,0.09,0.141,1.362,0.61,1.408,0.235,0.0,1500000.0,0,0.05,0.0,0.0,0.28,0,1,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.45,73.28,35.82,0.0,20.0,60.0,62.26,45.07,55.37,0.1398963730569948,0.0,6.8549222797927465,0.0932642487046632,0.6994818652849741,1.2590673575129534,1.7720207253886011,3.0777202072538863,0.6994818652849741,1.4922279792746116,0.0932642487046632,0.0,0.0466321243523316,2.6113989637305703,0.0,5.0,0.0,0.0,0.0,0.0,25.0,1930.0,Portugal,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/537477-1571744295.jpg?lm=1,joao goulart silva,,,,,
João Marques,Casa Pia,FW,23.0,589,0.15,0.15,0.46,0.15,1.538,0.462,1.077,2.308,3.077,0.0,1500000.0,0,0.15,0.15,0.4499999999999999,0.46,0,1,1,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.88,66.48,27.27,10.0,57.14,46.15,56.67,58.57,58.0,1.0344827586206895,0.2955665024630542,0.4433497536945813,0.0,0.2955665024630542,0.5911330049261084,4.58128078817734,2.5123152709359604,0.8866995073891626,6.059113300492611,0.0,0.1477832512315271,1.1822660098522169,7.536945812807882,0.0,1.0,0.0,0.0,0.0,0.0,13.0,609.0,Portugal,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/891971-1749738572.jpg?lm=1,joao marques,,,,,
Jérémy Livolant,Casa Pia,"FW,MF",27.0,2764,0.07,0.26,1.5,0.52,5.635,0.391,0.847,0.814,2.476,0.358,2500000.0,0,0.07,0.26,0.78,1.5,0,2,8,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,7.03,70.43,37.93,26.14,40.85,69.23,53.04,55.29,54.59,1.296829971181556,0.2593659942363112,0.9077809798270892,0.4214697406340058,0.1296829971181556,0.4214697406340058,3.8580691642651295,1.9776657060518728,0.8753602305475504,4.571325648414986,0.0,0.7132564841498559,0.9402017291066282,6.646253602305476,0.0,2.0,0.0,0.0,0.0,0.0,33.0,2776.0,France,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/324806-1656331238.png?lm=1,jeremy livolant,2027-06-30,324806.0,2026-07-08T07:42:55,2024-09-17,
Kaique Rocha,Casa Pia,DF,24.0,492,0.18,0.0,1.28,0.18,0.0,1.091,0.727,1.091,0.545,0.182,1000000.0,0,0.18,0.0,0.0,1.28,0,1,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.47,85.41,48.48,0.0,100.0,60.0,73.33,60.0,66.67,0.0,0.0,5.251509054325956,0.3621730382293762,0.9054325955734408,1.267605633802817,3.078470824949698,1.9919517102615687,0.5432595573440644,1.6297786720321932,0.1810865191146881,0.0,0.1810865191146881,2.535211267605634,0.0,0.0,0.0,0.0,0.0,0.0,6.0,497.0,Brazil,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/633377-1604409330.jpg?lm=1,kaique rocha,2028-06-30,633377.0,2026-07-08T07:42:55,2025-07-28,
Kelian Nsona Wa Saka,Casa Pia,"MF,FW",23.0,478,0.19,0.19,0.94,0.38,3.396,0.189,0.755,1.132,0.755,0.189,600000.0,0,0.19,0.19,0.5700000000000001,0.94,0,1,1,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.56,79.35,100.0,11.11,50.0,50.0,42.86,43.75,43.55,0.371900826446281,0.1859504132231405,0.743801652892562,0.0,0.1859504132231405,0.1859504132231405,2.975206611570248,1.1157024793388428,0.743801652892562,3.90495867768595,0.0,0.5578512396694214,1.6735537190082643,3.7190082644628095,0.0,0.0,0.0,0.0,0.0,0.0,10.0,484.0,France,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/569368-1713620942.png?lm=1,kelian nsona wa saka,,,,,
Kevin Prieto,Casa Pia,MF,22.0,346,0.0,0.0,0.26,0.0,2.368,0.789,3.158,1.316,3.158,0.0,500000.0,0,0.0,0.0,0.0,0.26,0,0,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.68,76.09,26.67,22.22,55.56,71.43,33.33,53.45,51.56,0.2439024390243902,0.0,2.1951219512195124,0.0,0.2439024390243902,0.9756097560975612,6.097560975609756,0.4878048780487805,2.439024390243903,7.560975609756098,0.0,0.4878048780487805,1.2195121951219514,4.878048780487806,0.0,0.0,0.0,0.0,0.0,0.0,11.0,369.0,Uruguay,Right Midfield,https://img.a.transfermarkt.technology/portrait/medium/1221003-1743017579.jpg?lm=1,kevin prieto,2029-06-30,1221003.0,2026-07-08T07:42:55,2025-08-08,
Khaly,Casa Pia,DF,21.0,992,0.0,0.0,0.18,0.0,0.091,1.0,1.091,0.818,1.455,0.0,,0,0.0,0.0,0.0,0.18,0,0,0,,,57,1.6764705882352942,0.2040816326530612,31,0.9117647058823528,0.064516129032258,6.57,69.8,41.38,0.0,42.86,81.25,56.25,64.81,60.78,0.0,0.0,6.169354838709677,0.0907258064516129,1.1794354838709675,0.997983870967742,3.5383064516129035,2.4495967741935485,1.1794354838709675,3.1754032258064515,0.2721774193548387,0.0,0.2721774193548387,1.3608870967741935,0.0,3.0,0.0,0.0,0.0,0.0,12.0,992.0,,,,khaly,,,,,
