rank,team,code,points,previous_rank,previous_points,rank_change,points_change,confederation,flag,updated
64,North Macedonia,MKD,1388.5,62,1390.79,-1,-2.29,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/MKD,2026-06-11
65,Burkina Faso,BFA,1385.37,63,1388.03,-1,-2.66,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/BFA,2026-06-11
66,Honduras,HON,1383.98,66,1379.84,1,4.14,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/HON,2026-06-11
67,Albania,ALB,1380.66,68,1373.15,2,7.51,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/ALB,2026-06-11
68,United Arab Emirates,UAE,1379.86,65,1379.86,-2,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/UAE,2026-06-11
69,Georgia,GEO,1377.32,67,1375.23,-1,2.09,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/GEO,2026-06-11
70,Jamaica,JAM,1377.22,70,1362.97,1,14.25,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/JAM,2026-06-11
71,Cabo Verde,CPV,1363.21,73,1343.68,3,19.53,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CPV,2026-06-11
72,Finland,FIN,1358.72,69,1371.55,-2,-12.83,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/FIN,2026-06-11
73,Northern Ireland,NIR,1355.98,71,1351.01,-1,4.97,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/NIR,2026-06-11
74,Bosnia and Herzegovina,BIH,1344.25,72,1349.11,-1,-4.86,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/BIH,2026-06-11
75,Iceland,ISL,1343.09,74,1337.92,0,5.17,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/ISL,2026-06-11
76,Ghana,GHA,1340.84,76,1333.33,1,7.51,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/GHA,2026-06-11
77,Israel,ISR,1337.4,75,1336.52,-1,0.88,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/ISR,2026-06-11
78,Bolivia,BOL,1332.24,78,1315.71,1,16.53,CONMEBOL,https://api.fifa.com/api/v3/picture/flags-sq-2/BOL,2026-06-11
79,Oman,OMA,1320.34,79,1314.41,1,5.93,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/OMA,2026-06-11
80,Gabon,GAB,1314.06,80,1306.6,1,7.46,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/GAB,2026-06-11
81,Montenegro,MNE,1314.05,77,1327.28,-3,-13.23,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/MNE,2026-06-11
82,Guinea,GUI,1299.49,81,1292.63,0,6.86,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/GUI,2026-06-11
83,Uganda,UGA,1287.61,88,1269.37,6,18.24,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/UGA,2026-06-11
84,New Zealand,NZL,1283.94,82,1288.86,-1,-4.92,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/NZL,2026-06-11
85,Curaçao,CUW,1282.42,86,1277.22,2,5.2,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CUW,2026-06-11
86,Zambia,ZAM,1273.0,83,1285.32,-2,-12.32,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/ZAM,2026-06-11
87,Bulgaria,BUL,1271.52,84,1284.42,-2,-12.9,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/BUL,2026-06-11
88,Haiti,HAI,1269.24,90,1261.42,3,7.82,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/HAI,2026-06-11
89,Bahrain,BHR,1268.73,89,1266.96,1,1.77,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/BHR,2026-06-11
90,Angola,ANG,1268.72,85,1279.55,-4,-10.83,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/ANG,2026-06-11
91,El Salvador,SLV,1267.75,87,1272.7,-3,-4.95,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/SLV,2026-06-11
92,Kosovo,KOS,1262.1,95,1247.71,4,14.39,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/KOS,2026-06-11
93,Syria,SYR,1259.32,91,1260.82,-1,-1.5,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/SYR,2026-06-11
94,Benin,BEN,1257.3,96,1238.97,3,18.33,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/BEN,2026-06-11
95,China PR,CHN,1249.06,94,1249.46,0,-0.4,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/CHN,2026-06-11
96,Equatorial Guinea,EQG,1248.68,93,1251.59,-2,-2.91,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/EQG,2026-06-11
97,Luxembourg,LUX,1242.61,92,1260.17,-4,-17.56,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/LUX,2026-06-11
98,Mozambique,MOZ,1234.04,99,1236.18,2,-2.14,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/MOZ,2026-06-11
99,Guatemala,GUA,1230.73,100,1235.63,2,-4.9,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/GUA,2026-06-11
100,Palestine,PLE,1230.55,98,1236.44,-1,-5.89,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/PLE,2026-06-11
101,Belarus,BLR,1223.54,97,1237.24,-3,-13.7,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/BLR,2026-06-11
102,Thailand,THA,1222.2,102,1222.07,1,0.13,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/THA,2026-06-11
103,Trinidad and Tobago,TRI,1220.99,101,1229.11,-1,-8.12,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/TRI,2026-06-11
104,Armenia,ARM,1219.55,105,1204.78,2,14.77,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/ARM,2026-06-11
105,Tajikistan,TJK,1206.15,106,1202.54,2,3.61,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/TJK,2026-06-11
106,Comoros,COM,1201.83,107,1198.51,2,3.32,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/COM,2026-06-11
107,Kyrgyz Republic,KGZ,1201.22,104,1208.57,-2,-7.35,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/KGZ,2026-06-11
108,Tanzania,TAN,1199.45,103,1209.23,-4,-9.78,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/TAN,2026-06-11
109,Madagascar,MAD,1187.59,115,1162.86,7,24.73,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/MAD,2026-06-11
110,Namibia,NAM,1183.8,108,1192.29,-1,-8.49,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/NAM,2026-06-11
111,Mauritania,MTN,1183.28,111,1173.04,1,10.24,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/MTN,2026-06-11
112,Kenya,KEN,1181.64,109,1179.06,-2,2.58,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/KEN,2026-06-11
113,Libya,LBY,1179.57,117,1155.19,5,24.38,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/LBY,2026-06-11
114,Lebanon,LBN,1172.3,112,1172.44,-1,-0.14,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/LBN,2026-06-11
115,Vietnam,VIE,1169.92,113,1169.92,-1,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/VIE,2026-06-11
116,The Gambia,GAM,1165.93,123,1141.36,8,24.57,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/GAM,2026-06-11
117,Sudan,SDN,1163.56,110,1173.59,-6,-10.03,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/SDN,2026-06-11
118,Niger,NIG,1160.33,121,1148.22,4,12.11,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/NIG,2026-06-11
119,Kazakhstan,KAZ,1158.06,114,1165.49,-4,-7.43,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/KAZ,2026-06-11
120,Indonesia,IDN,1157.94,118,1154.55,-1,3.39,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/IDN,2026-06-11
121,Togo,TOG,1151.08,120,1149.49,0,1.59,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/TOG,2026-06-11
122,Korea DPR,PRK,1151.05,119,1151.05,-2,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/PRK,2026-06-11
123,Sierra Leone,SLE,1150.1,124,1140.06,2,10.04,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/SLE,2026-06-11
124,Malaysia,MAS,1148.23,125,1138.48,2,9.75,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/MAS,2026-06-11
125,Azerbaijan,AZE,1148.09,122,1148.0,-2,0.09,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/AZE,2026-06-11
126,Zimbabwe,ZIM,1133.75,116,1157.45,-9,-23.7,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/ZIM,2026-06-11
127,Malawi,MWI,1133.6,129,1121.1,3,12.5,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/MWI,2026-06-11
128,Rwanda,RWA,1133.5,127,1125.47,0,8.03,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/RWA,2026-06-11
129,Cyprus,CYP,1128.1,128,1124.36,0,3.74,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/CYP,2026-06-11
130,Estonia,EST,1127.2,126,1131.33,-3,-4.13,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/EST,2026-06-11
131,Guinea-Bissau,GNB,1126.81,131,1119.54,1,7.27,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/GNB,2026-06-11
132,Suriname,SUR,1125.21,136,1099.98,5,25.23,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/SUR,2026-06-11
133,Nicaragua,NCA,1120.78,130,1120.02,-2,0.76,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/NCA,2026-06-11
134,Congo,CGO,1119.77,132,1116.26,-1,3.51,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CGO,2026-06-11
135,India,IND,1113.8,133,1113.22,-1,0.58,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/IND,2026-06-11
136,Kuwait,KUW,1100.38,138,1098.87,3,1.51,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/KUW,2026-06-11
137,Faroe Islands,FRO,1094.46,141,1089.74,5,4.72,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/FRO,2026-06-11
138,Latvia,LVA,1088.8,137,1099.29,0,-10.49,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/LVA,2026-06-11
139,Turkmenistan,TKM,1087.96,140,1092.4,2,-4.44,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/TKM,2026-06-11
140,Botswana,BOT,1087.27,135,1101.2,-4,-13.93,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/BOT,2026-06-11
141,Central African Republic,CTA,1081.36,134,1107.54,-6,-26.18,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CTA,2026-06-11
142,Burundi,BDI,1077.05,139,1092.51,-2,-15.46,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/BDI,2026-06-11
143,Dominican Republic,DOM,1074.46,142,1076.77,0,-2.31,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/DOM,2026-06-11
144,Philippines,PHI,1066.35,145,1066.35,2,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/PHI,2026-06-11
145,Liberia,LBR,1065.62,144,1068.31,0,-2.69,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/LBR,2026-06-11
146,Lithuania,LTU,1065.34,143,1069.2,-2,-3.86,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/LTU,2026-06-11
147,"Hong Kong, China",HKG,1047.36,147,1046.91,1,0.45,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/HKG,2026-06-11
148,Ethiopia,ETH,1046.41,146,1060.62,-1,-14.21,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/ETH,2026-06-11
149,Solomon Islands,SOL,1045.58,149,1045.58,1,0.0,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/SOL,2026-06-11
150,St Kitts and Nevis,SKN,1041.53,151,1041.53,2,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/SKN,2026-06-11
151,New Caledonia,NCL,1039.55,152,1039.55,2,0.0,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/NCL,2026-06-11
152,Guyana,GUY,1037.34,153,1037.34,2,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/GUY,2026-06-11
153,Fiji,FIJ,1035.11,150,1043.44,-2,-8.33,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/FIJ,2026-06-11
154,Lesotho,LES,1034.1,148,1046.35,-5,-12.25,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/LES,2026-06-11
155,Yemen,YEM,1021.25,156,1021.25,2,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/YEM,2026-06-11
156,Puerto Rico,PUR,1020.44,157,1020.44,2,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/PUR,2026-06-11
157,Moldova,MDA,1019.2,154,1028.26,-2,-9.06,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/MDA,2026-06-11
158,Tahiti,TAH,1019.04,158,1019.04,1,0.0,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/TAH,2026-06-11
159,Singapore,SGP,1013.34,159,1017.29,1,-3.95,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/SGP,2026-06-11
160,Eswatini,SWZ,1010.06,155,1022.87,-4,-12.81,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/SWZ,2026-06-11
161,Myanmar,MYA,1004.15,160,1004.06,0,0.09,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/MYA,2026-06-11
162,Afghanistan,AFG,998.88,161,1001.37,0,-2.49,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/AFG,2026-06-11
163,Antigua and Barbuda,ATG,992.38,163,992.38,1,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/ATG,2026-06-11
164,Vanuatu,VAN,991.59,164,991.59,1,0.0,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/VAN,2026-06-11
165,St Lucia,LCA,990.69,165,990.69,1,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/LCA,2026-06-11
166,Bermuda,BER,988.72,162,1000.04,-3,-11.32,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/BER,2026-06-11
167,Malta,MLT,982.43,168,977.43,2,5.0,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/MLT,2026-06-11
168,Cuba,CUB,980.33,166,980.33,-1,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CUB,2026-06-11
169,Grenada,GRN,978.4,167,978.4,-1,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/GRN,2026-06-11
170,South Sudan,SSD,976.56,169,975.6,0,0.96,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/SSD,2026-06-11
171,Papua New Guinea,PNG,969.17,170,969.17,0,0.0,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/PNG,2026-06-11
172,Maldives,MDV,968.59,171,965.75,0,2.84,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/MDV,2026-06-11
173,St Vincent and the Grenadines,VIN,962.43,173,962.43,1,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/VIN,2026-06-11
174,Chinese Taipei,TPE,960.81,172,964.06,-1,-3.25,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/TPE,2026-06-11
175,Andorra,AND,954.68,174,953.95,0,0.73,UEFA,https://api.fifa.com/api/v3/picture/flags-sq-2/AND,2026-06-11
176,Chad,CHA,925.82,175,924.6,0,1.22,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/CHA,2026-06-11
177,Nepal,NEP,923.02,176,923.25,0,-0.23,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/NEP,2026-06-11
178,Barbados,BRB,919.97,178,919.97,1,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/BRB,2026-06-11
179,Montserrat,MSR,916.75,179,916.75,1,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/MSR,2026-06-11
180,Mauritius,MRI,912.24,177,921.61,-2,-9.37,CAF,https://api.fifa.com/api/v3/picture/flags-sq-2/MRI,2026-06-11
181,Cambodia,CAM,910.21,180,910.21,0,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/CAM,2026-06-11
182,Belize,BLZ,904.45,181,904.45,0,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/BLZ,2026-06-11
183,Dominica,DMA,901.37,182,901.37,0,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/DMA,2026-06-11
184,Brunei Darussalam,BRU,900.62,183,900.62,0,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/BRU,2026-06-11
185,Bangladesh,BAN,899.24,184,899.01,0,0.23,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/BAN,2026-06-11
186,Laos,LAO,890.35,185,890.35,0,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/LAO,2026-06-11
187,Bhutan,BHU,888.94,186,888.94,0,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/BHU,2026-06-11
188,American Samoa,ASA,883.17,187,883.17,0,0.0,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/ASA,2026-06-11
189,Mongolia,MNG,879.75,188,879.75,0,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/MNG,2026-06-11
190,Cook Islands,COK,877.53,189,877.53,0,0.0,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/COK,2026-06-11
191,Samoa,SAM,876.41,190,876.41,0,0.0,OFC,https://api.fifa.com/api/v3/picture/flags-sq-2/SAM,2026-06-11
192,Macau,MAC,865.29,192,865.29,1,0.0,AFC,https://api.fifa.com/api/v3/picture/flags-sq-2/MAC,2026-06-11
193,Aruba,ARU,861.16,194,861.16,2,0.0,CONCACAF,https://api.fifa.com/api/v3/picture/flags-sq-2/ARU,2026-06-11
