norm_key,name,team,n_points,gw,gh,grid
neraysho kasanwirjo,Neraysho Kasanwirjo,Feyenoord,923,12,8,14 40 40 74 51 46 74 63 60 20 11 0 11 34 60 94 80 57 60 60 26 11 6 6 17 46 46 86 100 34 46 29 11 14 3 0 20 46 46 43 40 43 29 11 14 6 3 3 29 46 29 43 37 31 31 11 14 6 6 3 9 23 34 54 57 49 34 14 23 0 0 3 14 20 14 46 29 29 31 20 9 0 3 0 9 3 20 9 23 9 11 9 0 3 3 6
mats deijl,Mats Deijl,Feyenoord,1517,12,8,21 44 74 90 87 78 88 100 99 74 53 21 21 31 51 78 74 57 51 68 40 34 28 38 38 50 37 54 60 40 59 40 26 12 19 34 32 22 10 19 12 6 9 4 13 4 15 4 19 13 1 6 4 1 4 1 7 1 9 4 6 6 3 6 4 1 4 0 1 1 4 1 4 3 3 4 6 0 1 4 4 1 0 0 1 1 6 7 13 4 10 9 7 6 0 1
bart nieuwkoop,Bart Nieuwkoop,Feyenoord,430,12,8,17 33 29 67 83 21 79 100 88 46 54 12 17 8 42 46 50 50 50 75 92 17 38 29 25 8 29 54 62 17 46 33 33 8 12 25 21 46 4 8 8 12 12 8 4 12 25 17 17 12 0 8 4 0 0 0 4 0 8 8 4 0 8 4 0 0 4 0 0 0 0 8 0 0 0 0 0 4 0 4 0 4 4 0 0 0 0 0 0 0 0 4 0 0 0 4
gijs smal,Gijs Smal,Feyenoord,710,12,8,0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 6 3 3 0 6 6 0 3 0 9 0 0 0 0 0 3 0 17 3 3 3 9 6 0 0 6 9 0 26 26 14 9 31 14 3 9 14 0 6 17 9 17 26 71 60 40 51 63 49 9 14 14 20 31 37 66 66 66 100 91 86 57 20 11 23 54 54 57 69 51 69 97 77 71 46 20
jan plug,Jan Plug,Feyenoord,107,12,8,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 14 14 29 29 0 0 0 0 14 0 0 0 14 14 29 29 57 0 43 14 0 0 0 0 0 29 71 86 71 0 57 29 0 0 0 0 0 43 57 71 29 14 71 100 29 14 0 0 0 43 14 71 86 14 71 43 29 43 14 0
timon wellenreuther,Timon Wellenreuther,Feyenoord,908,12,8,3 2 2 3 1 1 0 0 0 0 0 0 7 10 4 3 2 0 0 0 0 0 0 0 42 51 22 17 1 1 0 0 0 0 0 0 100 94 63 67 4 2 2 0 0 0 0 0 98 98 69 65 8 3 0 0 0 0 0 0 37 55 26 8 2 0 0 0 0 0 0 0 6 12 8 10 1 1 1 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0
koki ogawa,Koki Ogawa,NEC Nijmegen,510,12,8,0 0 4 4 11 19 4 33 22 7 4 4 0 0 0 11 15 4 15 22 48 15 7 0 4 0 0 0 15 19 37 70 52 15 7 11 11 19 4 0 7 15 30 33 100 56 67 33 15 15 7 11 26 33 52 33 52 52 85 63 0 4 4 4 26 19 26 59 85 26 15 19 4 0 0 15 11 15 19 19 63 19 11 15 0 0 0 7 7 11 15 41 26 7 4 0
tjaronn chery,Tjaronn Chery,NEC Nijmegen,1436,12,8,2 5 9 36 29 36 34 47 36 64 28 19 0 2 7 19 40 36 33 78 76 55 24 9 3 3 3 21 48 47 50 79 100 81 38 17 0 10 7 28 19 33 41 47 64 43 16 16 0 3 5 26 5 26 33 33 69 47 40 12 2 7 9 22 26 24 12 43 48 38 40 17 3 0 2 7 12 10 17 29 48 12 21 14 2 2 0 10 9 0 14 26 26 28 47 16
kaj sierhuis,Kaj Sierhuis,NEC Nijmegen,926,12,8,0 0 4 25 43 11 64 43 21 14 25 7 0 0 0 14 46 14 39 61 71 43 4 14 0 7 0 18 36 54 46 96 100 57 43 36 46 4 4 18 25 32 39 68 71 43 46 57 39 29 4 7 39 39 32 79 93 43 54 43 7 14 0 14 14 43 79 100 75 64 57 14 4 4 7 11 50 39 54 100 82 61 29 14 4 4 7 14 39 32 43 68 64 39 32 14
bryan linssen,Bryan Linssen,NEC Nijmegen,811,12,8,0 0 3 0 0 0 18 12 18 24 9 9 0 0 3 6 12 3 18 9 6 12 6 9 9 3 0 6 12 12 15 41 38 29 35 26 12 6 3 18 12 15 21 38 41 59 74 47 6 12 9 12 15 15 21 44 71 50 79 41 12 6 6 9 26 21 35 38 59 53 56 21 0 0 9 29 59 29 53 100 59 18 38 15 3 15 9 38 47 35 62 97 97 50 47 18
noe lebreton,Noe Lebreton,NEC Nijmegen,937,12,8,3 17 3 9 11 9 11 14 9 9 9 6 0 3 14 11 17 11 17 14 14 3 6 6 11 6 0 20 29 17 23 51 20 23 26 6 17 14 14 17 23 23 29 23 51 40 34 29 14 9 14 31 40 31 34 63 54 49 66 31 6 20 9 23 49 57 57 74 80 69 57 31 6 17 11 31 49 34 49 80 80 100 49 29 3 0 23 29 34 29 60 66 51 43 46 20
kevin kers,Kevin Kers,NEC Nijmegen,10,12,8,0 0 0 0 0 0 0 100 100 0 0 0 0 0 0 100 0 0 0 100 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 100 0 0 0 0 0 0 0 0 0 0 100 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
