squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Lens,2026,summer,in,Michaël Cuisance,michael cuisance,Central Midfield,26,France,Hertha BSC,3500000.0,€3.50m,https://img.a.transfermarkt.technology/portrait/medium/344600-1720777671.jpg?lm=1
Lens,2026,summer,in,Facundo Medina,facundo medina,Centre-Back,27,Argentina,Marseille,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/474800-1653402999.jpg?lm=1
Lens,2026,summer,in,Anass Zaroury,anass zaroury,Left Winger,25,Morocco,Panathinaikos,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/491296-1756043546.png?lm=1
Lens,2026,summer,in,Hervé Koffi,herve koffi,Goalkeeper,29,Burkina Faso,Angers SCO,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/415383-1672499883.jpg?lm=1
Lens,2026,summer,in,Angelo Fulgini,angelo fulgini,Attacking Midfield,29,New Caledonia,Al-Taawoun,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/250013-1657707374.jpg?lm=1
Lens,2026,summer,in,Rémy Labeau Lascary,remy labeau lascary,Centre-Forward,23,France,Stade Brestois,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/917778-1676913774.jpg?lm=1
Lens,2026,summer,in,Jeremy Agbonifo,jeremy agbonifo,Right Winger,20,Sweden,Häcken,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1057820-1723715143.jpg?lm=1
Lens,2026,summer,in,Goduine Koyalipou,goduine koyalipou,Centre-Forward,26,Central African Republic,Angers SCO,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/525140-1714738152.png?lm=1
Lens,2026,summer,in,Jhoanner Chávez,jhoanner chavez,Left-Back,24,Ecuador,Sparta Prague,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/713787-1656676313.JPG?lm=1
Lens,2026,summer,in,Mattia Fortin,mattia fortin,Goalkeeper,22,Italy,Padova,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/918811-1700051135.jpg?lm=1
Lens,2026,summer,in,Souleymane Sagnan,souleymane sagnan,Centre-Back,21,Mali,SM Caen,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1160378-1756720885.jpg?lm=1
Lens,2026,summer,in,Yannick Pandor,yannick pandor,Goalkeeper,25,Comoros,Francs Borains,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/804829-1765370767.png?lm=1
Lens,2026,summer,in,Gabin Capuano,gabin capuano,Centre-Forward,20,France,US Boulogne,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1179130-1756742993.jpg?lm=1
Lens,2026,summer,in,Kembo Diliwidi,kembo diliwidi,Left Winger,20,France,QRM,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1160813-1738585501.jpg?lm=1
Lens,2026,summer,out,Facundo Medina,facundo medina,Centre-Back,27,Argentina,Marseille,18000000.0,€18.00m,https://img.a.transfermarkt.technology/portrait/medium/474800-1653402999.jpg?lm=1
Lens,2026,summer,out,Anass Zaroury,anass zaroury,Left Winger,25,Morocco,Panathinaikos,2700000.0,€2.70m,https://img.a.transfermarkt.technology/portrait/medium/491296-1756043546.png?lm=1
Lens,2026,summer,out,Adrien Thomasson,adrien thomasson,Central Midfield,32,France,Stade Rennais,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/215977-1673538425.jpg?lm=1
