player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,nationality,tm_position,tm_photo,fl_pos,fl_pos2,fl_group,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes
Noni Madueke,Arsenal,"FW,MF",23,1211,0.22,0.07,1.86,0.67,5.926,0.37,0.741,1.111,1.111,0.296,50000000.0,England,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/503987-1683102348.jpg?lm=1,RW,,RW,noni madueke,2030-06-30,503987.0,2026-07-09T08:39:23,2025-07-18,,0.144,0.144,0.29,1.589,1.806,0.486,2,1,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.85,76.16,55.0,20.0,47.54,47.62,45.45,43.62,43.86,1.6150081566068517,0.5138662316476346,0.5872756933115824,0.734094616639478,0.0734094616639478,0.367047308319739,2.569331158238173,0.734094616639478,0.734094616639478,4.771615008156607,0.0,0.6606851549755302,2.128874388254486,12.553017944535076,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1226.0
Piero Hincapié,Arsenal,DF,23,1792,0.05,0.1,0.15,0.1,1.658,1.307,1.307,0.905,0.704,0.05,50000000.0,Ecuador,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/659813-1727377918.jpg?lm=1,LB,CB,LB,piero hincapie,2031-06-30,659813.0,2026-07-09T08:39:23,2026-07-01,NEW,0.021,0.021,0.107,0.655,0.151,0.427,1,2,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.9,88.89,33.85,12.12,50.0,56.25,50.79,62.39,58.14,0.6529017857142857,0.1004464285714285,4.419642857142857,0.0502232142857142,0.4520089285714285,1.3058035714285714,3.1640625,1.6071428571428572,1.3560267857142856,3.415178571428571,0.0,0.1506696428571428,0.3515625,8.487723214285714,0.0,4.0,0.0,0.0,0.0,0.0,25.0,1792.0
Riccardo Calafiori,Arsenal,DF,23,1699,0.05,0.11,1.7,0.42,1.111,0.688,1.005,1.376,0.529,0.212,55000000.0,Italy,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/502821-1727382174.jpg?lm=1,LB,CB,LB,riccardo calafiori,2029-06-30,502821.0,2026-07-09T08:39:23,2024-07-29,,0.178,0.178,0.033,0.462,1.641,0.418,1,2,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.87,85.58,47.62,14.29,66.67,59.38,62.34,52.34,56.52,0.4745166959578207,0.0,2.636203866432337,0.5272407732864676,0.2636203866432338,0.7908611599297013,3.848857644991213,2.5307557117750443,1.0017574692442883,2.9525483304042184,0.0527240773286467,0.2636203866432338,0.843585237258348,10.22847100175747,0.0,4.0,0.0,0.0,0.0,0.0,26.0,1707.0
Viktor Gyökeres,Arsenal,FW,27,2224,0.45,0.04,2.23,0.89,0.324,0.04,0.202,1.417,1.255,0.162,65000000.0,Sweden,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/325443-1737581896.jpg?lm=1,ST,LW,ST,viktor gyokeres,2030-06-30,325443.0,2026-07-09T08:39:23,2025-07-26,,0.554,0.462,0.106,0.798,2.195,0.59,14,1,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.61,62.38,33.33,37.5,18.92,71.43,30.93,32.12,31.62,0.7985803016858918,0.1597160603371783,0.7586512866015972,0.5590062111801243,0.1197870452528837,0.0399290150842945,2.1960958296362025,1.1978704525288375,0.1996450754214729,1.756876663708962,0.0399290150842945,0.7985803016858918,0.2795031055900621,4.751552795031056,0.0,4.0,0.0,0.0,0.0,0.0,36.0,2254.0
William Saliba,Arsenal,DF,24,2614,0.03,0.0,0.17,0.03,0.31,0.517,0.793,0.759,0.552,0.034,100000000.0,France,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/495666-1718697201.jpg?lm=1,CB,,CB,william saliba,2030-06-30,495666.0,2026-07-09T08:39:23,2019-07-25,,0.054,0.054,0.045,0.345,0.172,0.38,1,0,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,7.02,92.87,50.86,44.44,70.0,62.86,55.3,58.59,56.71,0.3441682600382409,0.034416826003824,4.577437858508604,0.034416826003824,0.2409177820267686,0.5850860420650096,3.889101338432122,2.5124282982791586,0.75717017208413,1.9961759082217967,0.0688336520076481,0.0688336520076481,0.2409177820267686,8.879541108986615,0.0,15.0,0.0,0.0,0.0,0.0,31.0,2615.0
Alysson Edward,Aston Villa,MF,19,49,0.0,0.0,1.84,0.0,4.0,2.0,0.0,0.0,2.0,0.0,10000000.0,Brazil,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1005583-1756473897.png?lm=1,FW,,ST,alysson edward,,,,,,0.14,0.14,0.0,0.0,2.647,0.275,0,0,,,49,1.2894736842105263,0.5416666666666666,56,1.4736842105263157,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadou Onana,Aston Villa,MF,23,1758,0.1,0.0,0.97,0.36,0.0,0.974,1.538,1.026,1.282,0.0,45000000.0,Belgium,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/485706-1718697649.jpg?lm=1,DM,,DM,amadou onana,2029-06-30,485706.0,2026-07-09T08:39:27,2024-07-22,,0.139,0.139,0.025,0.351,0.954,0.342,2,0,,,49,1.2894736842105263,0.5416666666666666,56,1.4736842105263157,0.58,7.04,87.4,64.62,0.0,53.85,62.5,66.18,62.6,63.87,0.3547297297297297,0.0,2.989864864864865,0.2027027027027027,0.8614864864864864,1.266891891891892,3.6486486486486487,2.2804054054054053,1.5202702702702702,3.9020270270270254,0.1013513513513513,0.2533783783783783,0.3547297297297297,7.043918918918918,0.0,3.0,0.0,0.0,0.0,0.0,25.0,1776.0
Andrés García,Aston Villa,DF,22,86,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,6000000.0,Spain,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/1063329-1698880585.jpg?lm=1,RB,,RB,andres garcia,2029-06-30,1063329.0,2026-07-09T08:39:27,2025-01-21,,0.0,0.0,0.0,0.0,0.0,0.479,0,0,,,49,1.2894736842105263,0.5416666666666666,56,1.4736842105263157,0.58,6.5,100.0,0.0,0.0,0.0,80.0,0.0,55.56,55.56,0.0,0.0,3.4285714285714284,0.0,0.8571428571428571,0.0,3.4285714285714284,0.0,3.4285714285714284,4.285714285714286,0.8571428571428571,0.0,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,6.0,105.0
Boubacar Kamara,Aston Villa,MF,25,1411,0.06,0.19,0.45,0.26,0.127,0.955,1.019,1.019,1.911,0.0,40000000.0,France,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/394327-1736160460.jpg?lm=1,DM,CB,DM,boubacar kamara,2030-06-30,394327.0,2026-07-09T08:39:27,2022-07-01,,0.066,0.066,0.046,0.941,0.439,0.358,1,3,,,49,1.2894736842105263,0.5416666666666666,56,1.4736842105263157,0.58,7.12,88.26,67.39,0.0,45.16,45.95,64.29,54.05,56.86,0.9520451339915372,0.0,1.2693935119887163,0.1904090267983074,0.5077574047954866,1.1424541607898449,4.125528913963328,2.2849083215796897,1.078984485190409,5.077574047954866,0.1904090267983074,0.3173483779971791,0.8885754583921015,12.566995768688292,0.0,2.0,0.0,0.0,0.0,0.0,18.0,1418.0
Bradley Burrowes,Aston Villa,MF,17,17,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,2000000.0,England,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1202361-1746642416.jpg?lm=1,RW,,RW,bradley burrowes,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,49,1.2894736842105263,0.5416666666666666,56,1.4736842105263157,0.58,6.4,60.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,5.625,0.0,0.0,5.625,0.0,0.0,0.0,5.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0
