player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Rome-Jayden Owusu-Oduro,AZ Alkmaar,GK,21.0,2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,rome-jayden owusu-oduro,2030-06-30,704772,2026-07-07T15:11:27,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/704772-1753350151.jpg?lm=1
Seiya Maikuma,AZ Alkmaar,DF,27.0,148,0.0,0.0,0.0,0.0,0.0,1.25,1.25,3.75,1.875,0.0,,seiya maikuma,2028-06-30,733438,2026-07-07T15:11:27,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/733438-1721657268.jpg?lm=1
Sven Mijnans,AZ Alkmaar,MF,25.0,2348,0.42,0.23,3.22,1.38,3.257,0.69,0.843,0.575,0.958,0.23,,sven mijnans,,,,,,
Troy Parrott,AZ Alkmaar,FW,23.0,2200,0.57,0.16,3.6,1.76,0.287,0.205,0.451,0.738,1.23,0.328,,troy parrott,2029-06-30,552655,2026-07-07T15:11:27,2024-07-13,,https://img.a.transfermarkt.technology/portrait/medium/552655-1721657549.jpg?lm=1
Wassim Bouziane,AZ Alkmaar,FW,18.0,74,0.0,1.22,1.22,1.22,2.5,0.0,0.0,1.25,5.0,1.25,,wassim bouziane,2030-06-30,990008,2026-07-07T15:11:27,2030-06-30,NEW,https://img.a.transfermarkt.technology/portrait/medium/990008-1765214511.jpg?lm=1
Weslley Patati,AZ Alkmaar,"FW,MF",21.0,1443,0.12,0.19,2.87,1.0,1.5,0.125,1.938,1.75,2.25,0.125,,weslley patati,2030-06-30,959106,2026-07-07T15:11:27,2025-08-28,,https://img.a.transfermarkt.technology/portrait/medium/959106-1706142956.jpg?lm=1
Wouter Goes,AZ Alkmaar,DF,21.0,2745,0.03,0.0,0.2,0.13,0.131,0.984,0.721,0.82,1.246,0.0,,wouter goes,2028-06-30,646707,2026-07-07T15:11:27,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/646707-1753350086.jpg?lm=1
Zico Buurmeester,AZ Alkmaar,MF,23.0,33,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.5,0.0,0.0,,zico buurmeester,,,,,,
Aaron Bouwman,Ajax,DF,17.0,555,0.16,0.0,0.32,0.32,0.0,1.129,0.806,1.129,0.0,0.0,,aaron bouwman,2030-06-30,987366,2026-07-07T15:11:19,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/987366-1754855205.jpg?lm=1
Anton Gaaei,Ajax,DF,22.0,1793,0.05,0.2,1.36,0.45,4.523,1.055,1.156,1.055,0.251,0.0,,anton gaaei,2028-06-30,701055,2026-07-07T15:11:19,2023-08-17,,https://img.a.transfermarkt.technology/portrait/medium/701055-1698669853.jpg?lm=1
Bertrand Traoré,Ajax,FW,29.0,62,0.0,0.0,1.45,1.45,1.429,1.429,2.857,0.0,4.286,0.0,,bertrand traore,,,,,,
Davy Klaassen,Ajax,MF,32.0,1780,0.3,0.1,1.31,0.56,0.303,0.657,1.566,1.212,0.758,0.101,,davy klaassen,2027-06-30,182932,2026-07-07T15:11:19,2024-09-17,,https://img.a.transfermarkt.technology/portrait/medium/182932-1726562366.jpg?lm=1
Don-Angelo Konadu,Ajax,FW,19.0,182,0.0,0.0,3.46,0.99,0.0,0.5,1.0,2.0,2.0,0.5,,don-angelo konadu,2028-06-30,981693,2026-07-07T15:11:19,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/981693-1742228262.jpg?lm=1
Gerald Alders,Ajax,DF,20.0,178,0.0,0.0,0.51,0.0,0.0,0.0,2.0,1.0,2.5,0.5,,gerald alders,,,,,,
James McConnell,Ajax,MF,20.0,104,0.0,0.0,0.0,0.0,0.0,0.833,1.667,1.667,0.833,0.0,,james mcconnell,,,,,,
Jinairo Johnson,Ajax,DF,18.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,jinairo johnson,,,,,,
Jorthy Mokio,Ajax,"MF,DF",17.0,1328,0.14,0.14,1.15,0.41,0.473,1.351,2.297,1.014,0.811,0.068,,jorthy mokio,2031-06-30,1105532,2026-07-07T15:11:19,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/1105532-1745075593.jpg?lm=1
Josip Šutalo,Ajax,DF,25.0,1800,0.0,0.0,0.15,0.0,0.1,2.0,0.4,0.4,0.4,0.0,,josip sutalo,2028-06-30,371001,2026-07-07T15:11:19,2023-08-20,,https://img.a.transfermarkt.technology/portrait/medium/371001-1683031171.jpg?lm=1
Kasper Dolberg,Ajax,FW,27.0,1095,0.25,0.25,2.22,0.99,0.082,0.246,0.574,1.803,2.295,0.492,,kasper dolberg,2029-06-30,283196,2026-07-07T15:11:19,2025-09-02,,https://img.a.transfermarkt.technology/portrait/medium/283196-1725633296.jpg?lm=1
Kenneth Taylor,Ajax,MF,23.0,1277,0.07,0.28,1.83,0.78,1.761,0.986,0.634,1.549,1.197,0.141,,kenneth taylor,,,,,,
Kian Fitz-Jim,Ajax,MF,22.0,524,0.17,0.0,2.23,0.69,0.69,2.931,1.897,1.724,1.207,0.0,,kian fitz-jim,2027-06-30,559333,2026-07-07T15:11:19,2023-01-01,,https://img.a.transfermarkt.technology/portrait/medium/559333-1750147150.jpg?lm=1
Ko Itakura,Ajax,"DF,MF",28.0,1341,0.07,0.0,0.47,0.2,0.268,1.141,0.604,0.872,0.604,0.0,,ko itakura,2029-06-30,355816,2026-07-07T15:11:19,2025-08-08,,https://img.a.transfermarkt.technology/portrait/medium/355816-1662966245.jpg?lm=1
Lucas Oliveira Rosa,Ajax,DF,25.0,2145,0.0,0.0,0.67,0.21,1.05,1.681,1.807,1.303,1.176,0.0,,lucas oliveira rosa,,,,,,
Maarten Paes,Ajax,GK,27.0,990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,maarten paes,2029-06-30,396077,2026-07-07T15:11:19,2026-02-02,,https://img.a.transfermarkt.technology/portrait/medium/396077-1740506730.jpg?lm=1
Maher Carrizo,Ajax,MF,19.0,36,0.0,0.0,10.0,5.0,12.5,0.0,0.0,0.0,0.0,0.0,,maher carrizo,2030-06-30,1162160,2026-07-07T15:11:19,2026-02-03,,https://img.a.transfermarkt.technology/portrait/medium/1162160-1720648195.jpg?lm=1
Mika Godts,Ajax,"FW,MF",20.0,2676,0.57,0.4,2.69,1.31,2.963,0.404,0.707,0.64,1.481,0.236,,mika godts,2029-06-30,748804,2026-07-07T15:11:19,2024-01-01,,https://img.a.transfermarkt.technology/portrait/medium/748804-1745174235.jpg?lm=1
Oleksandr Zinchenko,Ajax,DF,28.0,20,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,,oleksandr zinchenko,,,,,,
Oliver Edvardsen,Ajax,"MF,FW",26.0,640,0.0,0.14,0.56,0.14,2.817,0.423,0.986,1.69,2.535,0.0,,oliver edvardsen,2028-06-30,374326,2026-07-07T15:11:19,2025-01-31,,https://img.a.transfermarkt.technology/portrait/medium/374326-1723035430.jpg?lm=1
Oscar Gloukh,Ajax,"MF,FW",21.0,1559,0.35,0.35,2.83,1.27,2.312,0.116,0.636,0.231,0.983,0.0,,oscar gloukh,2030-06-30,930571,2026-07-07T15:11:19,2025-08-01,,https://img.a.transfermarkt.technology/portrait/medium/930571-1754993380.png?lm=1
Owen Wijndal,Ajax,DF,25.0,1350,0.07,0.0,0.67,0.33,2.2,1.133,1.0,1.2,1.667,0.0,,owen wijndal,2027-06-30,339328,2026-07-07T15:11:19,2022-07-12,,https://img.a.transfermarkt.technology/portrait/medium/339328-1696421801.jpg?lm=1
Pharrel Nash,Ajax,FW,17.0,5,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,pharrel nash,,,,,,
Rayane Bounida,Ajax,FW,19.0,832,0.11,0.54,4.0,1.08,6.196,0.543,0.652,1.304,2.391,0.0,,rayane bounida,2028-06-30,598491,2026-07-07T15:11:19,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/598491-1745075528.jpg?lm=1
Raúl Moro,Ajax,"MF,FW",22.0,562,0.0,0.16,1.44,0.8,6.29,0.484,0.323,0.484,0.323,0.484,,raul moro,,,,,,
