target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Club Brugge,Mathew Ryan,Goalkeeper,34,Without ClubWithout Club,1800000.0,,25/06/2026
Club Brugge,Yann Sommer,Goalkeeper,37,Without ClubWithout Club,2000000.0,66,24/06/2026
Club Brugge,Jacob Ondrejka,Left Winger,23,Parma Calcio 1913,5500000.0,,24/06/2026
Club Brugge,Teboho Mokoena,Defensive Midfield,29,Mamelodi Sundowns FC,2800000.0,,24/06/2026
Club Brugge,Andrej Vasovic,Centre-Forward,18,FC Luzern,1500000.0,,19/06/2026
Club Brugge,Abubacarr Sedi Kinteh,Centre-Back,19,Tromsø IL,7000000.0,,17/06/2026
Club Brugge,Leonel Eklund,Centre-Forward,17,FC Nordsjaelland U19,,,11/06/2026
Club Brugge,Maksat Abraev,Left Winger,18,FC Astana,1000000.0,,31/05/2026
Club Brugge,Oliver Antman,Right Winger,24,Rangers FC,4000000.0,,30/05/2026
Club Brugge,Couhaib Driouech,Left Winger,24,PSV Eindhoven,7500000.0,,30/05/2026
Club Brugge,Adem Avdic,Left-Back,18,Red Star Belgrade,10000000.0,,28/05/2026
Club Brugge,Miguel Chaiwa,Defensive Midfield,22,Hibernian FC,3000000.0,,14/05/2026
Club Brugge,Fábio Baldé,Left Winger,20,Hamburger SV,5000000.0,,14/05/2026
Club Brugge,Pape Moussa Fall,Centre-Forward,22,FC Metz,3500000.0,,11/05/2026
Club Brugge,Dies Janse,Centre-Back,20,Ajax Amsterdam U21,6500000.0,,02/05/2026
Club Brugge,Adrián Angyal,Striker,16,MTK Budapest Youth,,,29/04/2026
Club Brugge,Mattia Zanotti,Right-Back,23,FC Lugano,8000000.0,,26/04/2026
Club Brugge,Ersin Destanoğlu,Goalkeeper,25,Without ClubWithout Club,4000000.0,,16/04/2026
Genk,Maxloren Castro,Left Winger,18,Club Sporting Cristal,1200000.0,68,05/07/2026
Genk,Jacob Ondrejka,Left Winger,23,Parma Calcio 1913,5500000.0,,24/06/2026
Genk,Ichem Ferrah,Right Winger,20,LOSC Lille B,2000000.0,,20/05/2026
Genk,Thomas Jørgensen,Central Midfield,20,Viborg FF,5000000.0,,08/04/2026
Gent,David Stückler,Centre-Forward,21,US Cremonese,500000.0,,03/07/2026
Gent,Léandro Rousseau,Centre-Forward,23,Patro Eisden Maasmechelen,1000000.0,,18/06/2026
Gent,Mansour Ouro-Tagba,Centre-Forward,21,1.FC Köln II,600000.0,,13/06/2026
Gent,Eli Adams,Right Winger,24,Gamba Osaka,650000.0,,28/05/2026
Gent,Ichem Ferrah,Right Winger,20,LOSC Lille B,2000000.0,,20/05/2026
La Louvière,Jonas Dirkner,Central Midfield,23,FC Hansa Rostock,350000.0,16,19/06/2026
Mechelen,Cedric Van Meirvenne,Left Winger,21,KV Mechelen,400000.0,,30/06/2026
Mechelen,Kendry Páez,Attacking Midfield,19,CA River Plate,8000000.0,,17/06/2026
OH Leuven,Sem Westerveld,Goalkeeper,23,Real Zaragoza,400000.0,,03/05/2026
Sint-Truiden,Norman Bassette,Centre-Forward,21,Coventry City,1500000.0,,28/05/2026
Sint-Truiden,Frédéric Soèllé Soèllé,Centre-Forward,20,Sint-Truidense VV,250000.0,,19/05/2026
Standard Liège,Maxime Busi,Right-Back,26,Without ClubWithout Club,1500000.0,,29/06/2026
Standard Liège,Maximiliano Caufriez,Centre-Back,29,Without ClubWithout Club,700000.0,,29/06/2026
Standard Liège,Rayan Touzghar,Central Midfield,22,Pau FC,1800000.0,,28/06/2026
Standard Liège,Claudio Katunda,Centre-Back,19,FC Schalke 04 II,,,10/06/2026
Standard Liège,Norman Bassette,Centre-Forward,21,Coventry City,1500000.0,,28/05/2026
Standard Liège,Akram Bouras,Central Midfield,24,Levski Sofia,2000000.0,,12/05/2026
Standard Liège,Christ Tapé,Left-Back,20,AC Horsens,800000.0,,14/04/2026
Standard Liège,Thomas Jørgensen,Central Midfield,20,Viborg FF,5000000.0,,08/04/2026
Union SG,Denzel De Roeve,Right-Back,21,SK Brann,1800000.0,,01/07/2026
Union SG,Milan Hokke,Centre-Back,22,ADO Den Haag,400000.0,,26/06/2026
Westerlo,Fabio Ferraro,Left-Back,23,FCV Dender EH,1200000.0,,03/07/2026
Westerlo,Alexandru Dobre,Right Winger,27,FC Rapid 1923,3000000.0,,28/06/2026
Westerlo,Bill Lathouwers,Goalkeeper,26,KVC Westerlo,700000.0,,26/06/2026
Westerlo,Issiaka Kamate,Central Midfield,21,Inter U23,1500000.0,,03/06/2026
Westerlo,Norman Bassette,Centre-Forward,21,Coventry City,1500000.0,,28/05/2026
Zulte Waregem,Claudio Katunda,Centre-Back,19,FC Schalke 04 II,,,06/07/2026
Zulte Waregem,Tom Vandenberghe,Goalkeeper,33,KAA Gent,250000.0,,18/06/2026
Zulte Waregem,Wilitty Younoussa,Central Midfield,24,FC Nantes,900000.0,,17/05/2026
