detected_at,squad,player,norm_key,tm_id,joined_date,contract_until,contract_signal,tm_photo,source
2026-07-03T08:32:04,Osasuna,Sergio Herrera,sergio herrera,248738,2017-07-12,2017-07-12,,https://img.a.transfermarkt.technology/portrait/medium/248738-1732220099.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Aitor Fernández,aitor fernandez,118997,2022-07-02,2022-07-02,,https://img.a.transfermarkt.technology/portrait/medium/118997-1683281584.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Dimitrios Stamatakis,dimitrios stamatakis,890817,,,,https://img.a.transfermarkt.technology/portrait/medium/890817-1700857050.png?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Rafa Fernández,rafa fernandez,929864,,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Enzo Boyomo,enzo boyomo,541555,2024-08-29,2024-08-29,,https://img.a.transfermarkt.technology/portrait/medium/541555-1728038860.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Jorge Herrando,jorge herrando,555500,2023-07-01,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/555500-1732219992.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Alejandro Catena,alejandro catena,449796,2023-07-01,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/449796-1732220159.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Mikel Serrano,mikel serrano,705881,,,,https://img.a.transfermarkt.technology/portrait/medium/705881-1732129125.png?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Unai Santos,unai santos,1065454,,,,https://img.a.transfermarkt.technology/portrait/medium/1065454-1732220488.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Abel Bretones,abel bretones,658115,2024-07-05,2024-07-05,,https://img.a.transfermarkt.technology/portrait/medium/658115-1690301272.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Javi Galán,javi galan,448628,2026-01-01,2026-01-01,,https://img.a.transfermarkt.technology/portrait/medium/448628-1706112804.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Juan Cruz,juan cruz,169497,2020-08-30,2020-08-30,,https://img.a.transfermarkt.technology/portrait/medium/169497-1732219962.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Raúl Chasco,raul chasco,834486,,,,https://img.a.transfermarkt.technology/portrait/medium/834486-1700776749.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Valentin Rosier,valentin rosier,441170,2025-07-01,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/441170-1666619891.png?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Iñigo Arguibide,inigo arguibide,1065442,2026-01-01,2026-01-01,,https://img.a.transfermarkt.technology/portrait/medium/1065442-1700857321.png?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Lucas Torró,lucas torro,213670,2020-08-04,2020-08-04,,https://img.a.transfermarkt.technology/portrait/medium/213670-1732219931.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Iker Muñoz,iker munoz,710677,2023-07-01,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/710677-1697557434.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Jon Moncayola,jon moncayola,552425,2019-07-01,2019-07-01,,https://img.a.transfermarkt.technology/portrait/medium/552425-1583310847.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Asier Osambela,asier osambela,1038512,2025-07-01,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1038512-1700857716.png?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Jon García,jon garcia,941080,,,,https://img.a.transfermarkt.technology/portrait/medium/941080-1700858054.png?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Mauro Echegoyen,mauro echegoyen,1065440,,,,https://img.a.transfermarkt.technology/portrait/medium/1065440-1700858200.png?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Aimar Oroz,aimar oroz,634131,2022-07-01,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/634131-1732220023.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Moi Gómez,moi gomez,175449,2022-07-28,2022-07-28,,https://img.a.transfermarkt.technology/portrait/medium/175449-1664970613.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Víctor Muñoz,victor munoz,935231,2025-07-11,2025-07-11,,https://img.a.transfermarkt.technology/portrait/medium/935231-1747037145.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
2026-07-03T08:32:04,Osasuna,Raúl Moro,raul moro,624942,2026-01-22,2026-01-22,,https://img.a.transfermarkt.technology/portrait/medium/624942-1750837010.jpg?lm=1,https://www.transfermarkt.com/ca-osasuna/kader/verein/331/saison_id/2025/plus/1
