squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,beker_starts,beker_apps,euro_starts,euro_apps,cup_starts,cup_apps
Ajax,Kasper Dolberg,kasper dolberg,3,5,0,0,0,0,0,0,3,5,0,0
Ajax,Lucas Rosa,lucas rosa,3,3,0,0,0,0,0,0,3,3,0,0
Ajax,Jorthy Mokio,jorthy mokio,3,7,0,0,0,0,0,0,3,7,0,0
Ajax,Raúl Moro,raul moro,2,5,0,0,0,0,0,0,2,5,0,0
Ajax,Remko Pasveer,remko pasveer,2,2,0,0,0,0,0,0,2,2,0,0
Ajax,Aaron Bouwman,aaron bouwman,2,2,0,0,0,0,0,0,2,2,0,0
Ajax,Sean Steur,sean steur,2,3,0,0,0,0,0,0,2,3,0,0
Ajax,Oliver Edvardsen,oliver edvardsen,1,4,0,0,0,0,0,0,1,4,0,0
Ajax,James McConnell,james mcconnell,1,3,0,0,0,0,0,0,1,3,0,0
Ajax,Steven Berghuis,steven berghuis,1,1,0,0,0,0,0,0,1,1,0,0
Ajax,Rayane Bounida,rayane bounida,1,4,0,0,0,0,0,0,1,4,0,0
Ajax,Kian Fitz-Jim,kian fitz-jim,0,5,0,0,0,0,0,0,0,5,0,0
Ajax,Gerald Alders,gerald alders,0,1,0,0,0,0,0,0,0,1,0,0
Ajax,Don-Angelo Konadu,don-angelo konadu,0,1,0,0,0,0,0,0,0,1,0,0
Ajax,Pharell Nash,pharell nash,0,1,0,0,0,0,0,0,0,1,0,0
Feyenoord,Timon Wellenreuther,timon wellenreuther,0,0,8,8,0,0,0,0,8,8,0,0
Feyenoord,Anel Ahmedhodzic,anel ahmedhodzic,0,0,7,7,0,0,0,0,7,7,0,0
Feyenoord,Anis Hadj Moussa,anis hadj moussa,0,0,7,8,0,0,0,0,7,8,0,0
Feyenoord,Luciano Valente,luciano valente,0,0,7,8,0,0,0,0,7,8,0,0
Feyenoord,Gijs Smal,gijs smal,0,0,6,6,0,0,0,0,6,6,0,0
Feyenoord,Sem Steijn,sem steijn,0,0,5,5,0,0,0,0,5,5,0,0
Feyenoord,Ayase Ueda,ayase ueda,0,0,5,6,0,0,0,0,5,6,0,0
Feyenoord,Oussama Targhaline,oussama targhaline,0,0,4,7,0,0,0,0,4,7,0,0
Feyenoord,Gonçalo Borges,goncalo borges,0,0,4,5,0,0,0,0,4,5,0,0
Feyenoord,Tsuyoshi Watanabe,tsuyoshi watanabe,0,0,4,6,0,0,0,0,4,6,0,0
Feyenoord,Jordan Lotomba,jordan lotomba,0,0,4,5,0,0,0,0,4,5,0,0
Feyenoord,Quinten Timber,quinten timber,0,0,3,4,0,0,0,0,3,4,0,0
Feyenoord,Casper Tengstedt,casper tengstedt,0,0,3,3,0,0,0,0,3,3,0,0
Feyenoord,Givairo Read,givairo read,0,0,3,3,0,0,0,0,3,3,0,0
Feyenoord,Hwang In-Beom,hwang in-beom,0,0,3,4,0,0,0,0,3,4,0,0
Feyenoord,Leo Sauer,leo sauer,0,0,3,6,0,0,0,0,3,6,0,0
Feyenoord,Jordan Bos,jordan bos,0,0,3,5,0,0,0,0,3,5,0,0
Feyenoord,Cyle Larin,cyle larin,0,0,2,7,0,0,0,0,2,7,0,0
Feyenoord,Aymen Sliti,aymen sliti,0,0,2,3,0,0,0,0,2,3,0,0
Feyenoord,Malcolm Jeng,malcolm jeng,0,0,1,1,0,0,0,0,1,1,0,0
Feyenoord,Bart Nieuwkoop,bart nieuwkoop,0,0,1,6,0,0,0,0,1,6,0,0
Feyenoord,Gaoussou Diarra,gaoussou diarra,0,0,1,2,0,0,0,0,1,2,0,0
Feyenoord,Jan Plug,jan plug,0,0,1,3,0,0,0,0,1,3,0,0
Feyenoord,Thijs Kraaijeveld,thijs kraaijeveld,0,0,1,1,0,0,0,0,1,1,0,0
Feyenoord,Shaqueel Van Persie,shaqueel van persie,0,0,0,3,0,0,0,0,0,3,0,0
Feyenoord,Jakub Moder,jakub moder,0,0,0,1,0,0,0,0,0,1,0,0
Go Ahead Eagles,Jari De Busser,jari de busser,0,0,8,8,0,0,0,0,8,8,0,0
Go Ahead Eagles,Joris Kramer,joris kramer,0,0,8,8,0,0,0,0,8,8,0,0
Go Ahead Eagles,Dean James,dean james,0,0,8,8,0,0,0,0,8,8,0,0
Go Ahead Eagles,Melle Meulensteen,melle meulensteen,0,0,8,8,0,0,0,0,8,8,0,0
Go Ahead Eagles,Mathis Suray,mathis suray,0,0,8,8,0,0,0,0,8,8,0,0
Go Ahead Eagles,Mats Deijl,mats deijl,0,0,7,7,0,0,0,0,7,7,0,0
Go Ahead Eagles,Jakob Breum,jakob breum,0,0,5,6,0,0,0,0,5,6,0,0
Go Ahead Eagles,Evert Linthorst,evert linthorst,0,0,5,7,0,0,0,0,5,7,0,0
Go Ahead Eagles,Milan Smit,milan smit,0,0,5,6,0,0,0,0,5,6,0,0
Go Ahead Eagles,Kenzo Goudmijn,kenzo goudmijn,0,0,4,5,0,0,0,0,4,5,0,0
Go Ahead Eagles,Gerrit Nauber,gerrit nauber,0,0,3,3,0,0,0,0,3,3,0,0
Go Ahead Eagles,Victor Edvardsen,victor edvardsen,0,0,3,5,0,0,0,0,3,5,0,0
Go Ahead Eagles,Calvin Twigt,calvin twigt,0,0,3,7,0,0,0,0,3,7,0,0
Go Ahead Eagles,Richonell Margaret,richonell margaret,0,0,3,6,0,0,0,0,3,6,0,0
Go Ahead Eagles,Yassir Rahmouni,yassir rahmouni,0,0,3,4,0,0,0,0,3,4,0,0
Go Ahead Eagles,Aske Adelgaard,aske adelgaard,0,0,2,6,0,0,0,0,2,6,0,0
Go Ahead Eagles,Giovanni van Zwam,giovanni van zwam,0,0,2,5,0,0,0,0,2,5,0,0
Go Ahead Eagles,Oskar Siira Sivertsen,oskar siira sivertsen,0,0,2,4,0,0,0,0,2,4,0,0
Go Ahead Eagles,Julius Dirksen,julius dirksen,0,0,1,4,0,0,0,0,1,4,0,0
Go Ahead Eagles,Finn Stokkers,finn stokkers,0,0,0,6,0,0,0,0,0,6,0,0
Go Ahead Eagles,Robbin Weijenberg,robbin weijenberg,0,0,0,2,0,0,0,0,0,2,0,0
Go Ahead Eagles,Oscar Pettersson,oscar pettersson,0,0,0,1,0,0,0,0,0,1,0,0
Go Ahead Eagles,Ofosu Boakye,ofosu boakye,0,0,0,1,0,0,0,0,0,1,0,0
PSV,Matej Kovár,matej kovar,8,8,0,0,0,0,0,0,8,8,0,0
PSV,Joey Veerman,joey veerman,8,8,0,0,0,0,0,0,8,8,0,0
PSV,Jerdy Schouten,jerdy schouten,8,8,0,0,0,0,0,0,8,8,0,0
PSV,Yarek Gasiorowski,yarek gasiorowski,7,7,0,0,0,0,0,0,7,7,0,0
PSV,Ismael Saibari,ismael saibari,7,7,0,0,0,0,0,0,7,7,0,0
PSV,Ivan Perisic,ivan perisic,7,8,0,0,0,0,0,0,7,8,0,0
PSV,Guus Til,guus til,7,8,0,0,0,0,0,0,7,8,0,0
PSV,Mauro Júnior,mauro junior,7,7,0,0,0,0,0,0,7,7,0,0
PSV,Dennis Man,dennis man,6,8,0,0,0,0,0,0,6,8,0,0
PSV,Anass Salah-Eddine,anass salah-eddine,6,7,0,0,0,0,0,0,6,7,0,0
PSV,Sergiño Dest,sergino dest,5,6,0,0,0,0,0,0,5,6,0,0
PSV,Armando Obispo,armando obispo,3,6,0,0,0,0,0,0,3,6,0,0
PSV,Paul Wanner,paul wanner,3,6,0,0,0,0,0,0,3,6,0,0
PSV,Ryan Flamingo,ryan flamingo,2,4,0,0,0,0,0,0,2,4,0,0
PSV,Ricardo Pepi,ricardo pepi,1,5,0,0,0,0,0,0,1,5,0,0
PSV,Ruben Van Bommel,ruben van bommel,1,1,0,0,0,0,0,0,1,1,0,0
PSV,Couhaib Driouech,couhaib driouech,1,7,0,0,0,0,0,0,1,7,0,0
PSV,Kiliann Sildillia,kiliann sildillia,1,1,0,0,0,0,0,0,1,1,0,0
PSV,Myron Boadu,myron boadu,0,2,0,0,0,0,0,0,0,2,0,0
PSV,Esmir Bajraktarevic,esmir bajraktarevic,0,4,0,0,0,0,0,0,0,4,0,0
PSV,Noah Fernandez,noah fernandez,0,1,0,0,0,0,0,0,0,1,0,0
