squad,gw,date,home_away,opponent,gf,ga,score,result
Club Brugge,10,2026-05-24,H,Gent,5,0,5:0,W
Club Brugge,11,2025-10-18,A,OH Leuven,1,0,1:0,W
Club Brugge,12,2025-10-26,A,Antwerp,1,0,1:0,W
Club Brugge,13,2025-11-01,H,Dender,2,1,2:1,W
Club Brugge,14,2025-11-09,A,Anderlecht,0,1,0:1,L
Club Brugge,15,2025-11-22,H,Charleroi,1,0,1:0,W
Club Brugge,16,2025-11-30,H,Antwerp,0,1,0:1,L
Club Brugge,17,2025-12-06,A,Sint-Truiden,2,3,2:3,L
Club Brugge,18,2025-12-14,A,Dender,5,1,5:1,W
Club Brugge,19,2025-12-21,H,Gent,2,1,2:1,W
Club Brugge,20,2025-12-26,A,Genk,5,3,5:3,W
Club Brugge,21,2026-01-16,H,La Louvière,2,3,2:3,L
Club Brugge,22,2026-01-24,H,Zulte Waregem,4,3,4:3,W
Club Brugge,23,2026-02-01,A,Union SG,0,1,0:1,L
Club Brugge,24,2026-02-08,H,Standard Liège,3,0,3:0,W
Club Brugge,25,2026-02-15,A,Cercle Brugge,2,1,2:1,W
Club Brugge,26,2026-02-21,H,OH Leuven,2,1,2:1,W
Club Brugge,27,2026-03-01,A,Charleroi,2,1,2:1,W
Club Brugge,28,2026-03-08,H,Anderlecht,2,2,2:2,D
Club Brugge,29,2026-03-14,A,Westerlo,2,1,2:1,W
Club Brugge,30,2026-03-22,H,Mechelen,4,1,4:1,W
Dender,1,2025-07-26,H,Cercle Brugge,0,0,0:0,D
Dender,1,2026-04-06,A,La Louvière,1,0,1:0,W
Dender,2,2025-08-02,A,Standard Liège,1,1,1:1,D
Dender,2,2026-04-12,H,Zulte Waregem,1,2,1:2,L
Dender,3,2025-08-08,A,Sint-Truiden,0,2,0:2,L
Dender,3,2026-04-19,H,Cercle Brugge,1,4,1:4,L
Dender,4,2025-08-17,H,Anderlecht,0,2,0:2,L
Dender,4,2026-04-24,A,Cercle Brugge,1,2,1:2,L
Dender,5,2025-08-24,H,OH Leuven,0,1,0:1,L
Dender,5,2026-05-03,H,La Louvière,2,1,2:1,W
Dender,6,2025-08-30,A,Charleroi,1,3,1:3,L
Dender,6,2026-05-09,A,Zulte Waregem,1,2,1:2,L
Dender,7,2025-09-13,H,Union SG,0,1,0:1,L
Dender,8,2025-09-19,A,Gent,0,3,0:3,L
Dender,9,2025-09-28,H,La Louvière,0,0,0:0,D
Dender,10,2025-10-05,A,Genk,1,2,1:2,L
Dender,11,2025-10-19,H,Mechelen,1,3,1:3,L
Dender,12,2025-10-25,A,Westerlo,1,1,1:1,D
Dender,13,2025-11-01,A,Club Brugge,1,2,1:2,L
