player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Mateo Flores,Arouca,MF,21.0,201,0.0,0.0,0.45,0.0,0.455,0.455,1.364,2.273,1.818,0.0,,mateo flores,2029-06-30,1061283.0,2026-07-08T07:43:03,2026-07-01,NEW,https://img.a.transfermarkt.technology/portrait/medium/1061283-1744633163.jpg?lm=1
Matí­as Rocha,Arouca,DF,24.0,842,0.0,0.0,0.32,0.0,0.106,0.745,0.532,1.17,0.319,0.0,,matias rocha,2027-06-30,821824.0,2026-07-08T07:43:03,2023-08-11,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Miguel Puche García,Arouca,MF,24.0,729,0.12,0.12,1.73,0.86,4.321,0.494,0.864,2.469,1.481,0.494,,miguel puche garcia,,,,,,
Naïs Djouahra,Arouca,MF,25.0,2726,0.2,0.1,1.62,0.63,5.083,0.891,0.561,0.33,0.066,0.099,,nais djouahra,2027-06-30,594926.0,2026-07-08T07:43:03,2025-07-02,,https://img.a.transfermarkt.technology/portrait/medium/594926-1766432207.jpg?lm=1
Nico Mantl,Arouca,GK,25.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nico mantl,2028-06-30,349536.0,2026-07-08T07:43:03,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/349536-1692996965.png?lm=1
Omar Fayed,Arouca,DF,22.0,552,0.0,0.0,0.16,0.0,0.328,1.967,1.967,2.295,0.82,0.164,,omar fayed,,,,,,
Pablo Gozalbez,Arouca,MF,24.0,1067,0.08,0.17,1.77,0.59,2.353,0.588,1.429,2.017,2.353,0.42,,pablo gozalbez,2029-06-30,622992.0,2026-07-08T07:43:03,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/622992-1698962957.jpg?lm=1
Pedro Santos,Arouca,MF,24.0,771,0.0,0.0,0.23,0.0,1.163,1.047,1.628,2.093,1.977,0.116,,pedro santos,2028-06-30,657435.0,2026-07-08T07:43:03,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/657435-1680781798.png?lm=1
Romualdas Jansonas,Arouca,FW,20.0,48,0.0,0.0,1.87,0.0,2.0,0.0,0.0,2.0,2.0,0.0,,romualdas jansonas,2030-06-30,832326.0,2026-07-08T07:43:03,2025-08-30,,https://img.a.transfermarkt.technology/portrait/medium/832326-1688466174.jpg?lm=1
Taichi Fukui,Arouca,MF,21.0,2520,0.14,0.11,1.0,0.29,0.679,1.0,1.393,0.679,1.429,0.0,,taichi fukui,2028-06-30,868622.0,2026-07-08T07:43:03,2025-02-03,,https://img.a.transfermarkt.technology/portrait/medium/868622-1692803071.png?lm=1
