player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,nationality,tm_position,tm_photo,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Luis Vázquez,Anderlecht,FW,24,691,0.26,0.0,2.87,1.3,0.39,0.0,0.649,0.909,1.169,0.779,2500000.0,0,0.26,0.0,0.0,2.87,0,2,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.59,70.13,66.67,0.0,25.0,66.67,48.94,50.0,49.43,1.0169491525423728,0.2542372881355932,0.5084745762711864,0.7627118644067797,0.1271186440677966,0.0,2.415254237288136,2.9237288135593222,0.7627118644067797,2.5423728813559325,0.0,0.5084745762711864,0.3813559322033898,6.737288135593221,0.0,1.0,0.0,0.0,0.0,0.0,14.0,708.0,Argentina,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/844516-1699907027.jpg?lm=1,luis vazquez,2028-06-30,844516,2026-07-07T15:50:45,2023-07-26,
Marco Kana,Anderlecht,"DF,MF",22,2039,0.0,0.0,0.4,0.09,0.0,1.013,0.485,1.101,0.176,0.0,3000000.0,0,0.0,0.0,0.0,0.4,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.78,92.07,52.73,0.0,66.67,63.16,65.85,39.06,49.52,0.2643171806167401,0.0,5.418502202643172,0.1762114537444934,0.7048458149779736,1.1013215859030838,4.229074889867841,1.1894273127753303,0.5286343612334802,1.1013215859030838,0.2202643171806167,0.13215859030837,0.0881057268722467,3.7004405286343616,0.0,7.0,0.0,0.0,0.0,0.0,26.0,2043.0,Belgium,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/486051-1660720218.jpg?lm=1,marco kana,2028-06-30,486051,2026-07-07T15:50:45,2019-07-01,
Mario Stroeykens,Anderlecht,MF,20,810,0.11,0.0,1.78,0.33,1.111,0.778,0.667,0.889,0.889,0.0,4500000.0,0,0.11,0.0,0.0,1.78,0,1,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.64,82.33,64.71,10.0,36.36,58.33,14.29,40.68,33.75,1.1166253101736971,0.1116625310173697,0.6699751861042184,0.781637717121588,0.0,0.781637717121588,4.01985111662531,0.3349875930521092,0.781637717121588,2.679900744416873,0.0,0.4466501240694789,0.4466501240694789,23.11414392059553,0.0,1.0,0.0,0.0,0.0,0.0,23.0,806.0,DR Congo,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/588866-1760423610.jpg?lm=1,mario stroeykens,2028-06-30,588866,2026-07-07T15:50:45,2021-01-01,
Mathys Angély,Anderlecht,DF,18,280,0.0,0.0,0.32,0.0,0.0,0.323,1.613,0.645,0.645,0.0,1000000.0,0,0.0,0.0,0.0,0.32,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.65,88.24,50.0,0.0,100.0,44.44,30.77,80.0,57.14,0.0,0.0,7.096774193548387,0.0,1.935483870967741,0.3225806451612903,3.225806451612903,1.2903225806451613,1.2903225806451613,3.870967741935484,0.0,0.0,0.3225806451612903,4.838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,4.0,279.0,France,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/1075579-1752736349.jpg?lm=1,mathys angely,,,,,
Mats Rits,Anderlecht,MF,32,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,500000.0,0,0.0,0.0,0.0,1.0,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.7,58.82,0.0,0.0,0.0,100.0,0.0,66.67,66.67,0.0,0.0,2.0454545454545454,0.0,1.0227272727272727,0.0,5.113636363636364,0.0,1.0227272727272727,2.0454545454545454,0.0,0.0,0.0,5.113636363636364,0.0,0.0,0.0,0.0,0.0,0.0,3.0,88.0,Belgium,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/92164-1705056841.jpg?lm=1,mats rits,,,,,
Mihajlo Cvetković,Anderlecht,"FW,MF",18,1622,0.5,0.11,2.33,1.22,0.111,0.333,0.5,1.833,1.611,0.5,10000000.0,0,0.5,0.11,0.33,2.33,0,9,2,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.6,75.25,68.18,0.0,40.0,60.0,31.82,41.27,38.02,0.9380748007357448,0.1103617412630288,0.9932556713672592,0.6069895769466584,0.1103617412630288,0.3310852237890864,2.37277743715512,1.1587982832618025,0.4966278356836296,2.869405272838749,0.0,0.551808706315144,0.4414469650521152,5.462906192519926,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1631.0,Serbia,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/897510-1735138525.png?lm=1,mihajlo cvetkovic,2029-06-30,897510,2026-07-07T15:50:45,2025-07-01,
Mihajlo Ilić,Anderlecht,DF,22,769,0.0,0.0,0.47,0.12,0.118,1.176,0.824,1.412,0.588,0.235,2000000.0,0,0.0,0.0,0.0,0.47,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.84,85.05,52.86,0.0,0.0,60.0,58.97,50.0,55.07,0.3511053315994799,0.0,7.841352405721716,0.1170351105331599,1.6384915474642392,0.9362808842652796,3.6280884265279583,2.691807542262679,0.7022106631989598,1.7555266579973992,0.1170351105331599,0.1170351105331599,0.0,4.213263979193759,0.0,1.0,0.0,0.0,0.0,0.0,10.0,769.0,Serbia,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/845566-1678309962.jpg?lm=1,mihajlo ilic,,,,,
Moussa Diarra,Anderlecht,DF,24,966,0.0,0.0,0.47,0.09,0.654,1.869,0.467,1.495,1.495,0.093,2000000.0,0,0.0,0.0,0.0,0.47,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.48,86.5,36.67,0.0,50.0,37.5,53.06,52.08,52.58,0.0,0.0,3.525773195876289,0.0927835051546391,1.0206185567010309,1.9484536082474224,3.804123711340206,2.4123711340206184,0.2783505154639175,2.319587628865979,0.0927835051546391,0.1855670103092783,0.1855670103092783,4.268041237113402,0.0,0.0,0.0,0.0,0.0,0.0,12.0,970.0,Mali,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/694509-1708555512.jpg?lm=1,moussa diarra,,,,,
Moussa N'Diaye,Anderlecht,DF,23,975,0.0,0.0,0.92,0.09,0.648,1.852,1.481,0.926,1.852,0.0,,0,0.0,0.0,0.0,0.92,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.88,81.98,32.79,14.29,66.67,48.28,67.35,71.25,69.77,0.3684749232343909,0.0,3.316274309109519,0.2763561924257932,0.2763561924257932,1.9344933469805523,5.34288638689867,3.039918116683725,1.2896622313203685,5.250767656090072,0.0,0.0921187308085977,0.7369498464687819,12.528147389969291,0.0,1.0,0.0,0.0,0.0,0.0,17.0,977.0,,,,moussa n'diaye,,,,,
Nathan De Cat,Anderlecht,MF,17,2725,0.07,0.13,0.99,0.2,0.627,1.155,1.056,1.551,1.122,0.099,27000000.0,0,0.07,0.13,0.39,0.99,0,2,4,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.75,76.12,53.13,0.0,48.84,56.67,47.62,48.51,48.32,0.9200438116100766,0.0985761226725082,1.5772179627601317,0.1314348302300109,0.2957283680175246,1.1500547645125958,4.271631982475356,0.9857612267250822,1.1171960569550932,3.745892661555312,0.0328587075575027,0.4271631982475355,0.6900328587075575,10.54764512595838,0.0,4.0,0.0,0.0,0.0,0.0,36.0,2739.0,Belgium,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/1105541-1763066245.jpg?lm=1,nathan de cat,2027-06-30,1105541,2026-07-07T15:50:45,2025-07-01,
