norm_key,name,team,n_points,gw,gh,grid
jeremy doku,Jérémy Doku,Manchester City,1154,12,8,0 0 0 1 0 1 0 0 1 7 5 0 0 0 0 0 0 0 0 0 5 5 3 5 0 1 0 1 4 7 10 7 7 15 5 10 1 0 3 5 4 3 14 4 12 12 11 10 1 5 3 5 4 14 8 14 18 15 11 14 0 1 3 8 26 5 25 26 40 42 53 53 1 18 8 32 30 34 34 42 68 66 100 59 11 10 12 29 45 40 53 75 64 81 66 23
jack grealish,Jack Grealish,Manchester City,906,12,8,0 0 0 0 4 0 0 0 0 2 0 0 0 4 0 4 0 0 0 0 0 2 0 0 0 2 0 2 2 0 2 2 0 4 4 4 4 6 6 6 2 0 6 2 7 6 0 4 11 6 6 9 13 2 7 7 17 11 11 13 13 13 22 20 20 13 19 48 41 28 56 37 9 11 28 41 39 24 31 48 78 59 76 44 9 13 35 61 61 69 67 85 100 78 59 28
savinho,Savinho,Manchester City,620,12,8,6 11 17 14 29 23 37 83 74 100 77 23 3 3 3 9 11 9 11 17 29 43 71 40 0 0 6 9 17 9 6 3 17 9 49 49 0 14 3 9 0 6 6 9 6 14 11 9 0 9 3 6 9 0 3 6 6 3 3 11 0 0 3 6 9 3 14 11 11 23 23 26 3 3 17 14 23 9 9 23 31 20 57 46 6 17 6 11 26 23 20 66 74 46 31 6
tijjani reijnders,Tijjani Reijnders,Manchester City,1070,12,8,0 12 6 15 12 9 41 38 65 41 26 3 0 9 12 21 35 18 44 53 100 50 32 24 3 3 15 32 56 38 59 56 82 59 47 9 6 18 15 32 29 47 56 56 56 26 50 9 3 24 18 21 47 44 53 50 82 41 15 12 6 24 24 47 47 35 56 91 85 68 29 21 0 9 3 38 38 47 65 82 91 41 38 6 0 3 9 12 18 15 18 41 32 50 18 9
mateo kovacic,Mateo Kovačić,Manchester City,188,12,8,0 0 7 0 0 0 13 7 13 0 0 0 0 0 7 0 13 7 13 7 13 0 0 0 0 0 0 40 20 20 20 33 27 0 0 0 0 7 7 13 7 47 20 33 20 13 0 0 13 13 20 33 13 47 27 27 7 20 0 0 0 0 7 33 27 73 100 33 47 33 0 7 0 0 0 27 20 33 27 33 27 7 0 0 0 0 7 0 7 7 20 7 20 7 0 0
elliot anderson,Elliot Anderson,Manchester City,2819,12,8,21 17 26 54 26 22 40 44 49 26 12 6 8 8 25 62 64 35 60 51 60 28 12 7 17 26 29 67 82 58 61 65 54 25 8 8 14 26 29 51 53 54 50 31 36 17 3 1 10 33 35 76 71 62 57 57 43 17 15 3 19 31 39 83 90 69 78 74 58 49 29 15 24 35 51 85 100 62 79 93 74 43 24 28 14 26 25 62 64 43 54 60 38 29 33 24
nico gonzalez,Nico González,Manchester City,1446,12,8,2 7 2 10 9 5 9 14 9 7 3 0 0 3 10 29 40 22 26 55 36 14 2 0 0 16 19 53 66 55 69 88 53 22 2 2 26 26 16 50 45 40 55 60 41 22 7 7 14 24 24 53 47 55 69 60 52 17 16 3 3 10 21 53 71 41 83 100 67 14 2 0 2 7 12 29 36 31 67 62 50 12 2 0 0 3 5 16 21 12 28 22 21 2 0 0
abdukodir khusanov,Abdukodir Khusanov,Manchester City,1252,12,8,26 26 28 39 43 30 50 41 35 22 9 0 24 59 41 74 57 46 56 56 28 11 0 2 31 46 57 100 74 63 70 52 35 9 0 0 19 28 19 65 61 50 43 35 37 0 9 4 17 26 11 61 33 54 43 20 7 0 0 4 11 15 9 39 22 26 33 22 0 4 0 0 11 11 13 9 19 13 17 4 7 0 0 0 2 7 13 6 7 6 4 2 2 0 0 0
josko gvardiol,Joško Gvardiol,Manchester City,1120,12,8,2 2 2 4 0 0 0 0 0 0 0 0 0 4 4 4 4 2 0 2 0 0 0 4 4 4 7 13 9 2 13 6 2 0 0 0 7 17 15 15 4 11 9 11 2 0 24 0 46 35 22 33 33 39 44 22 31 0 19 26 24 30 54 80 76 72 100 98 59 24 9 6 33 39 56 72 72 70 96 56 41 13 2 0 24 28 44 44 33 31 44 43 30 9 4 0
rayan ait-nouri,Rayan Aït-Nouri,Manchester City,811,12,8,0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0 2 0 2 2 2 0 0 2 0 0 0 2 0 0 2 9 0 2 2 5 0 0 0 4 0 0 4 9 7 4 0 7 18 4 7 2 7 2 14 4 11 2 5 11 5 9 14 16 23 18 23 27 12 14 25 7 25 27 45 25 32 38 64 71 34 21 18 30 38 52 75 62 48 73 100 88 75 48 7
