detected_at,squad,player,norm_key,tm_id,joined_date,contract_until,contract_signal,tm_photo,source
2026-07-05T23:49:22,Leverkusen,Jonas Hofmann,jonas hofmann,7161,2023-07-05,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/7161-1689710421.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Kerim Alajbegovic,kerim alajbegovic,929994,2026-07-01,2031-06-30,NEW,https://img.a.transfermarkt.technology/portrait/medium/929994-1754993481.png?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Afonso Moreira,afonso moreira,952282,2026-07-01,2031-06-30,NEW,https://img.a.transfermarkt.technology/portrait/medium/952282-1688369515.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Eliesse Ben Seghir,eliesse ben seghir,810895,2025-08-31,2030-06-30,,https://img.a.transfermarkt.technology/portrait/medium/810895-1758703148.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Martin Terrier,martin terrier,442891,2024-07-18,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/442891-1727378397.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Ernest Poku,ernest poku,718303,2025-08-12,2030-06-30,,https://img.a.transfermarkt.technology/portrait/medium/718303-1758703071.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Nathan Tella,nathan tella,340322,2023-08-27,2031-06-30,,https://img.a.transfermarkt.technology/portrait/medium/340322-1727377772.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Montrell Culbreath,montrell culbreath,1058514,2026-01-29,2031-06-30,,https://img.a.transfermarkt.technology/portrait/medium/1058514-1756412896.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Farid Alfa-Ruprecht,farid alfa-ruprecht,897402,2025-07-27,2030-06-30,,https://img.a.transfermarkt.technology/portrait/medium/897402-1756736203.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Christian Kofane,christian kofane,1364454,2025-07-11,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/1364454-1758702715.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Patrik Schick,patrik schick,242086,2020-09-08,2030-06-30,,https://img.a.transfermarkt.technology/portrait/medium/242086-1727378322.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Victor Boniface,victor boniface,656681,2023-07-22,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/656681-1758702484.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Aleksa Damjanovic,aleksa damjanovic,1073625,2026-07-01,2029-06-30,NEW,https://img.a.transfermarkt.technology/portrait/medium/1073625-1708515464.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Alejo Sarco,alejo sarco,1000675,2025-01-02,2029-06-30,,https://img.a.transfermarkt.technology/portrait/medium/1000675-1760947366.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Ken Izekor,ken izekor,929912,2026-07-01,2027-06-30,NEW,https://img.a.transfermarkt.technology/portrait/medium/929912-1702572687.jpg?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:22,Leverkusen,Ndjicoura Bomba,ndjicoura bomba,1392804,2026-07-01,2030-06-30,NEW,https://img.a.transfermarkt.technology/portrait/medium/1392804-1743717593.png?lm=1,https://www.transfermarkt.com/bayer-04-leverkusen/kader/verein/15/plus/1
2026-07-05T23:49:25,Mainz 05,Robin Zentner,robin zentner,160963,2014-07-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/160963-1676499369.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Lasse Rieß,lasse riess,490609,2021-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/490609-1752587621.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Maximilian Kinzig,maximilian kinzig,817521,2026-07-01,2026-07-01,NEW,https://img.a.transfermarkt.technology/portrait/medium/817521-1765042705.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Kacper Potulski,kacper potulski,1073748,2026-01-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/1073748-1765043272.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Andreas Hanche-Olsen,andreas hanche-olsen,370683,2023-01-13,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/370683-1692000124.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Fabio Gruber,fabio gruber,594731,2026-07-01,2030-06-30,NEW,https://img.a.transfermarkt.technology/portrait/medium/594731-1739822694.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Dominik Kohr,dominik kohr,118847,2022-07-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/118847-1722886760.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Danny da Costa,danny da costa,85906,2022-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/85906-1752588257.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Stefan Bell,stefan bell,82350,2010-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/82350-1657706740.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Maxim Dal,maxim dal,934317,2025-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/934317-1722886472.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Phillipp Mwene,phillipp mwene,127573,2023-08-23,2023-08-23,,https://img.a.transfermarkt.technology/portrait/medium/127573-1722886402.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Anthony Caci,anthony caci,453016,2022-07-01,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/453016-1657706767.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Silvan Widmer,silvan widmer,168989,2021-07-09,2021-07-09,,https://img.a.transfermarkt.technology/portrait/medium/168989-1629202510.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Kaishu Sano,kaishu sano,643574,2024-07-03,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/643574-1752587688.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Eric Martel,eric martel,597000,2026-07-01,2026-07-01,NEW,https://img.a.transfermarkt.technology/portrait/medium/597000-1657110079.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Lennard Maloney,lennard maloney,392710,2025-01-21,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/392710-1752587852.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Sota Kawasaki,sota kawasaki,733371,2026-07-01,2026-07-01,NEW,https://img.a.transfermarkt.technology/portrait/medium/733371-1752588052.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Nadiem Amiri,nadiem amiri,232454,2024-01-31,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/232454-1722885996.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Paul Nebel,paul nebel,503160,2020-07-01,2027-06-30,,https://img.a.transfermarkt.technology/portrait/medium/503160-1722886613.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
2026-07-05T23:49:25,Mainz 05,Hyun-seok Hong,hyun-seok hong,562948,2024-08-29,2028-06-30,,https://img.a.transfermarkt.technology/portrait/medium/562948-1752587798.jpg?lm=1,https://www.transfermarkt.com/1-fsv-mainz-05/kader/verein/39/plus/1
