squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Benfica,2026,summer,out,Nicolás Otamendi,nicolas otamendi,Centre-Back,38,Argentina,River Plate,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/54781-1669835534.jpg?lm=1
Benfica,2026,summer,out,Georgiy Sudakov,georgiy sudakov,Attacking Midfield,23,Ukraine,Shakhtar D.,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/623325-1758058526.jpg?lm=1
Benfica,2026,summer,out,Enzo Barrenechea,enzo barrenechea,Defensive Midfield,25,Argentina,Aston Villa,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/671915-1758058491.jpg?lm=1
Braga,2026,summer,in,Diogo Travassos,diogo travassos,Right-Back,22,Portugal,Sporting,5500000.0,€5.50m,https://img.a.transfermarkt.technology/portrait/medium/478317-1743698526.jpg?lm=1
Braga,2026,summer,in,Gabriel Silva,gabriel silva,Left Winger,24,Brazil,Santa Clara,3500000.0,€3.50m,https://img.a.transfermarkt.technology/portrait/medium/627224-1773448016.jpg?lm=1
Braga,2026,summer,in,Adrian Barisic,adrian barisic,Centre-Back,24,Bosnia-Herzegovina,Basel,3500000.0,€3.50m,https://img.a.transfermarkt.technology/portrait/medium/625206-1758783943.jpg?lm=1
Braga,2026,summer,in,Adrian Bajrami,adrian bajrami,Centre-Back,24,Switzerland,FC Luzern,2800000.0,€2.80m,https://img.a.transfermarkt.technology/portrait/medium/582987-1704294917.jpg?lm=1
Braga,2026,summer,in,Sergio Barcia,sergio barcia,Centre-Back,25,Spain,Legia Warszawa,1500000.0,€1.50m,https://img.a.transfermarkt.technology/portrait/medium/562058-1777322045.jpg?lm=1
Braga,2026,summer,in,Bernardo,bernardo,Goalkeeper,23,Brazil,Tondela,400000.0,€400k,https://img.a.transfermarkt.technology/portrait/medium/719646-1761504207.jpg?lm=1
Braga,2026,summer,in,Jonas Wind,jonas wind,Centre-Forward,27,Denmark,Wolfsburg,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/391004-1752736403.jpg?lm=1
Braga,2026,summer,in,Denis Huseinbasic,denis huseinbasic,Central Midfield,24,Bosnia-Herzegovina,1.FC Köln,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/678479-1721140225.jpg?lm=1
Braga,2026,summer,in,Ismaël Gharbi,ismael gharbi,Left Winger,22,Tunisia,Augsburg,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/810096-1773671302.jpg?lm=1
Braga,2026,summer,in,Chissumba,chissumba,Left-Back,21,Portugal,Alverca,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/898721-1732826797.jpg?lm=1
Braga,2026,summer,in,Thiago Helguera,thiago helguera,Defensive Midfield,20,Uruguay,CD Mirandés,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Braga,2026,summer,in,Djibril Soumaré,djibril soumare,Defensive Midfield,23,Senegal,Sheff Utd,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1041532-1743533608.jpg?lm=1
Braga,2026,summer,in,Bartlomiej Wdowik,bartlomiej wdowik,Left-Back,25,Poland,Jagiellonia,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/589013-1760514248.JPG?lm=1
Braga,2026,summer,in,João Marques,joao marques,Left Winger,24,Portugal,Casa Pia,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/891971-1749738572.jpg?lm=1
Braga,2026,summer,in,André Horta,andre horta,Central Midfield,29,Portugal,UD Almería,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/329722-1737995089.png?lm=1
Braga,2026,summer,out,Rodrigo Zalazar,rodrigo zalazar,Attacking Midfield,26,Uruguay,Sporting,30000000.0,€30.00m,https://img.a.transfermarkt.technology/portrait/medium/606752-1771936397.png?lm=1
