squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Volendam,2026,summer,out,Joel Ideho,joel ideho,Left Winger,22,Netherlands,Sparta R.,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/760508-1758624870.jpg?lm=1
Heracles Almelo,2026,summer,in,David Vicente,david vicente,Right-Back,27,Spain,Real Murcia,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/554334-1712568330.jpg?lm=1
Heracles Almelo,2026,summer,in,Max Hauswirth,max hauswirth,Left-Back,22,Germany,Schalke 04 II,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/918769-1768511602.png?lm=1
Heracles Almelo,2026,summer,in,Maurice Wrusch,maurice wrusch,Central Midfield,25,Germany,Eintracht Trier,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/692839-1756389703.jpg?lm=1
Heracles Almelo,2026,summer,in,Manny Rodríguez,manny rodriguez,Left-Back,28,Dominican Republic,Linares,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Heracles Almelo,2026,summer,in,Walid Ould-Chikh,walid ould-chikh,Attacking Midfield,26,Netherlands,E. Braunschweig,,?,https://img.a.transfermarkt.technology/portrait/medium/597104-1764163013.png?lm=1
Heracles Almelo,2026,summer,in,Jean-Paul N'Djoli,jean-paul n'djoli,Centre-Forward,25,France,FC Wil 1900,,?,https://img.a.transfermarkt.technology/portrait/medium/843728-1769014230.jpg?lm=1
Heracles Almelo,2026,summer,in,Mario Borac,mario borac,Left-Back,20,Croatia,Stuttg. Kickers,,?,https://img.a.transfermarkt.technology/portrait/medium/942604-1726247269.jpg?lm=1
Heracles Almelo,2026,summer,in,Daniël van Kaam,daniel van kaam,Defensive Midfield,26,Netherlands,RKC Waalwijk,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/377720-1764155525.jpg?lm=1
Heracles Almelo,2026,summer,in,Stijn Bultman,stijn bultman,Centre-Back,21,Netherlands,De Graafschap,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/936571-1767882028.jpg?lm=1
Heracles Almelo,2026,summer,in,Lorenzo Milani,lorenzo milani,Left-Back,25,Italy,Bra,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/500274-1764162344.png?lm=1
Heracles Almelo,2026,summer,in,Diego van Oorschot,diego van oorschot,Centre-Forward,20,Netherlands,VVV-Venlo,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/989998-1767703145.JPG?lm=1
Heracles Almelo,2026,summer,out,Remko Pasveer,remko pasveer,Goalkeeper,42,Netherlands,FC Twente,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/25520-1666951851.jpg?lm=1
Heracles Almelo,2026,summer,out,Robin Mantel,robin mantel,Goalkeeper,25,Belgium,SSV Ulm 1846,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/535741-1764161735.png?lm=1
Heracles Almelo,2026,summer,out,Ivan Mesik,ivan mesik,Centre-Back,25,Slovakia,Charlton,,?,https://img.a.transfermarkt.technology/portrait/medium/482838-1764162470.png?lm=1
Heracles Almelo,2026,summer,out,Ajdin Hrustic,ajdin hrustic,Central Midfield,29,Australia,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/265625-1764162948.png?lm=1
