target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Lazio,James Rodríguez,Attacking Midfield,35,Without ClubWithout Club,1500000.0,,12/07/2026
Lazio,Bruno Galassi,Central Midfield,19,Real Madrid C,100000.0,,11/07/2026
Lazio,Luka Stojkovic,Attacking Midfield,22,GNK Dinamo Zagreb,7000000.0,,11/07/2026
Lazio,Andrea Pinamonti,Centre-Forward,27,US Sassuolo,15000000.0,,09/07/2026
Lazio,Diego Coppola,Centre-Back,22,Brighton & Hove Albion,18000000.0,21,09/07/2026
Lazio,Roberto Piccoli,Centre-Forward,25,ACF Fiorentina,14000000.0,,08/07/2026
Lazio,Mauro Icardi,Centre-Forward,33,Without ClubWithout Club,4000000.0,,04/07/2026
Lazio,Saël Kumbedi,Right-Back,21,VfL Wolfsburg,12000000.0,,03/07/2026
Lazio,Orlando Gill,Goalkeeper,26,CA San Lorenzo de Almagro,6000000.0,30,02/07/2026
Lazio,Pietro Comuzzo,Centre-Back,21,ACF Fiorentina,18000000.0,,02/07/2026
Lazio,Ermin Mahmic,Attacking Midfield,21,FC Slovan Liberec,5000000.0,,29/06/2026
Lazio,Philipp Lienhart,Centre-Back,30,SC Freiburg,10000000.0,18,29/06/2026
Lazio,Oscar Schwartau,Attacking Midfield,20,Norwich City,7000000.0,,29/06/2026
Lazio,Ramiz Zerrouki,Defensive Midfield,28,Feyenoord Rotterdam,6500000.0,,28/06/2026
Lazio,Diogo Leite,Centre-Back,27,Without ClubWithout Club,12000000.0,,28/06/2026
Lazio,Andrés Castrín,Centre-Back,23,Sevilla FC,6000000.0,,28/06/2026
Lazio,Raúl Asencio,Centre-Back,23,Real Madrid,20000000.0,,26/06/2026
Lazio,Lorenzo Lucca,Centre-Forward,25,SSC Napoli,20000000.0,,23/06/2026
Lazio,Rafa Marín,Centre-Back,24,SSC Napoli,12000000.0,,23/06/2026
Lazio,Nicolò Zaniolo,Second Striker,27,Udinese Calcio,15000000.0,,22/06/2026
Lazio,Jens Odgaard,Attacking Midfield,27,Bologna FC 1909,12000000.0,,20/06/2026
Lazio,Arne Engels,Central Midfield,22,Celtic FC,20000000.0,,20/06/2026
Lecce,Robbie Ure,Centre-Forward,22,IK Sirius,5000000.0,,14/07/2026
Lecce,Filip Skorb,Centre-Forward,18,Celtic FC B,,,14/07/2026
