player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Pape Cabral,Monaco,MF,18,77,0.0,0.0,3.51,2.34,0.0,1.111,1.111,1.111,1.111,0.0,,pape cabral,,,,,,
Paris Brunner,Monaco,FW,19,132,0.0,0.0,2.73,0.68,0.667,0.667,1.333,5.333,0.667,0.667,,paris brunner,2028-06-30,918414.0,2026-07-09T08:47:11,2024-08-16,,https://img.a.transfermarkt.technology/portrait/medium/918414-1759780037.jpg?lm=1
Paul Pogba,Monaco,MF,32,119,0.0,0.0,1.51,0.0,0.769,0.769,2.308,1.538,0.769,0.0,,paul pogba,2027-06-30,122153.0,2026-07-09T08:47:11,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/122153-1764059298.jpg?lm=1
Philipp Köhn,Monaco,GK,27,1621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,philipp kohn,2028-06-30,251322.0,2026-07-09T08:47:11,2023-07-15,,https://img.a.transfermarkt.technology/portrait/medium/251322-1661531623.png?lm=1
Samuel Nibombé,Monaco,DF,17,1,0.0,0.0,0.0,0.0,,,,,,,,samuel nibombe,,,,,,
Simon Adingra,Monaco,"MF,FW",23,855,0.32,0.21,2.32,0.63,3.053,0.632,0.947,0.737,0.842,0.211,,simon adingra,,,,,,
Stanis Idumbo,Monaco,MF,20,171,0.53,0.53,3.16,1.05,0.526,0.0,1.579,1.579,1.053,0.0,,stanis idumbo,2030-06-30,743387.0,2026-07-09T08:47:11,2025-08-30,,https://img.a.transfermarkt.technology/portrait/medium/743387-1652692759.jpg?lm=1
Takumi Minamino,Monaco,MF,30,944,0.29,0.19,2.0,0.67,0.762,0.286,0.286,0.952,0.762,0.286,,takumi minamino,2027-06-30,165793.0,2026-07-09T08:47:11,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/165793-1737490576.jpg?lm=1
Thilo Kehrer,Monaco,DF,28,2353,0.0,0.0,0.61,0.04,0.192,1.188,1.494,1.034,1.111,0.077,,thilo kehrer,2028-06-30,228948.0,2026-07-09T08:47:11,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/228948-1737490227.jpg?lm=1
Vanderson,Monaco,"DF,MF",24,616,0.0,0.29,0.44,0.0,4.853,2.794,1.912,2.206,0.294,0.0,,vanderson,2028-06-30,789082.0,2026-07-09T08:47:11,2022-01-01,,https://img.a.transfermarkt.technology/portrait/medium/789082-1655282894.jpg?lm=1
Wout Faes,Monaco,DF,27,1141,0.0,0.0,0.39,0.08,0.079,1.102,0.945,1.102,0.236,0.0,,wout faes,,,,,,
Abakar Sylla,Nantes,DF,22,65,0.0,0.0,2.77,0.0,0.0,0.0,0.0,2.857,0.0,0.0,,abakar sylla,,,,,,
Ali Yousuf,Nantes,DF,24,969,0.0,0.0,0.56,0.09,0.093,1.667,0.648,1.019,1.019,0.0,,ali yousuf,,,,,,
