squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,facup_starts,facup_apps,lcup_starts,lcup_apps,euro_starts,euro_apps,cup_starts,cup_apps
Bournemouth,Álex Jiménez,alex jimenez,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bournemouth,Marcus Tavernier,marcus tavernier,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bournemouth,Antoine Semenyo,antoine semenyo,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bournemouth,Tyler Adams,tyler adams,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Brentford,Hákon Valdimarsson,hakon valdimarsson,0,0,0,0,0,0,2,2,4,4,0,0,6,6
Brentford,Sepp van den Berg,sepp van den berg,0,0,0,0,0,0,1,2,4,4,0,0,5,6
Brentford,Rico Henry,rico henry,0,0,0,0,0,0,1,1,4,4,0,0,5,5
Brentford,Mathias Jensen,mathias jensen,0,0,0,0,0,0,2,3,3,3,0,0,5,6
Brentford,Ethan Pinnock,ethan pinnock,0,0,0,0,0,0,2,2,2,2,0,0,4,4
Brentford,Aaron Hickey,aaron hickey,0,0,0,0,0,0,2,2,2,3,0,0,4,5
Brentford,Kristoffer Ajer,kristoffer ajer,0,0,0,0,0,0,1,1,3,3,0,0,4,4
Brentford,Mikkel Damsgaard,mikkel damsgaard,0,0,0,0,0,0,2,2,1,2,0,0,3,4
Brentford,Keane Lewis-Potter,keane lewis-potter,0,0,0,0,0,0,2,3,1,2,0,0,3,5
Brentford,Reiss Nelson,reiss nelson,0,0,0,0,0,0,2,2,1,2,0,0,3,4
Brentford,Michael Kayode,michael kayode,0,0,0,0,0,0,2,3,1,4,0,0,3,7
Brentford,Vitaly Janelt,vitaly janelt,0,0,0,0,0,0,1,2,2,3,0,0,3,5
Brentford,Nathan Collins,nathan collins,0,0,0,0,0,0,2,2,1,4,0,0,3,6
Brentford,Yehor Yarmoliuk,yehor yarmoliuk,0,0,0,0,0,0,2,2,1,3,0,0,3,5
Brentford,Dango Ouattara,dango ouattara,0,0,0,0,0,0,1,2,2,3,0,0,3,5
Brentford,Kevin Schade,kevin schade,0,0,0,0,0,0,1,1,2,3,0,0,3,4
Brentford,Frank Onyeka,frank onyeka,0,0,0,0,0,0,0,0,3,3,0,0,3,3
Brentford,Fábio Carvalho,fabio carvalho,0,0,0,0,0,0,0,0,3,3,0,0,3,3
Brentford,Jordan Henderson,jordan henderson,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Brentford,Romelle Donovan,romelle donovan,0,0,0,0,0,0,2,3,0,2,0,0,2,5
Brentford,Benjamin Arthur,benjamin arthur,0,0,0,0,0,0,0,1,2,2,0,0,2,3
Brentford,Antoni Milambo,antoni milambo,0,0,0,0,0,0,0,0,2,2,0,0,2,2
Brentford,Kaye Furo,kaye furo,0,0,0,0,0,0,1,2,0,0,0,0,1,2
Brentford,Caoimhín Kelleher,caoimhin kelleher,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Brentford,Igor Thiago,igor thiago,0,0,0,0,0,0,1,1,0,1,0,0,1,2
Brentford,Yunus Konak,yunus konak,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Brentford,Gustavo Nunes,gustavo nunes,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Brentford,Luka Bentt,luka bentt,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Brighton,Jason Steele,jason steele,0,0,0,0,0,0,2,2,3,3,0,0,5,5
Brighton,Ferdi Kadioglu,ferdi kadioglu,0,0,0,0,0,0,2,2,3,3,0,0,5,5
Brighton,Diego Gómez,diego gomez,0,0,0,0,0,0,2,2,3,3,0,0,5,5
Brighton,Olivier Boscagli,olivier boscagli,0,0,0,0,0,0,1,2,3,3,0,0,4,5
Brighton,Diego Coppola,diego coppola,0,0,0,0,0,0,1,1,3,3,0,0,4,4
Brighton,Joël Veltman,joel veltman,0,0,0,0,0,0,2,2,2,2,0,0,4,4
Brighton,Jack Hinshelwood,jack hinshelwood,0,0,0,0,0,0,2,2,1,1,0,0,3,3
Brighton,Carlos Baleba,carlos baleba,0,0,0,0,0,0,1,1,2,3,0,0,3,4
Brighton,Georginio Rutter,georginio rutter,0,0,0,0,0,0,1,2,1,1,0,0,2,3
Brighton,Pascal Gross,pascal gross,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Brighton,Danny Welbeck,danny welbeck,0,0,0,0,0,0,1,1,1,2,0,0,2,3
Brighton,Brajan Gruda,brajan gruda,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Brighton,Jan Paul van Hecke,jan paul van hecke,0,0,0,0,0,0,1,2,1,2,0,0,2,4
Brighton,Charalambos Kostoulas,charalambos kostoulas,0,0,0,0,0,0,1,2,1,3,0,0,2,5
Brighton,Harry Howell,harry howell,0,0,0,0,0,0,1,1,1,2,0,0,2,3
Brighton,James Milner,james milner,0,0,0,0,0,0,0,0,2,2,0,0,2,2
Brighton,Stefanos Tzimas,stefanos tzimas,0,0,0,0,0,0,0,0,2,3,0,0,2,3
Brighton,Tom Watson,tom watson,0,0,0,0,0,0,0,1,1,3,0,0,1,4
Brighton,Lewis Dunk,lewis dunk,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Brighton,Igor Julio,igor julio,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Brighton,Maxim De Cuyper,maxim de cuyper,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Brighton,Yasin Ayari,yasin ayari,0,0,0,0,0,0,0,1,0,2,0,0,0,3
Brighton,Kaoru Mitoma,kaoru mitoma,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Brighton,Yankuba Minteh,yankuba minteh,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Brighton,Mats Wieffer,mats wieffer,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Brighton,Charlie Tasker,charlie tasker,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Burnley,Max Weiß,max weiss,0,0,0,0,0,0,2,2,2,2,0,0,4,4
Burnley,Oliver Sonne,oliver sonne,0,0,0,0,0,0,1,1,2,2,0,0,3,3
