squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,facup_starts,facup_apps,lcup_starts,lcup_apps,euro_starts,euro_apps,cup_starts,cup_apps
Wolves,Santiago Bueno,santiago bueno,0,0,0,0,0,0,3,3,2,2,0,0,5,5
Wolves,João Gomes,joao gomes,0,0,0,0,0,0,3,3,1,3,0,0,4,6
Wolves,André,andre,0,0,0,0,0,0,2,2,2,2,0,0,4,4
Wolves,Jackson Tchatchoua,jackson tchatchoua,0,0,0,0,0,0,3,3,1,2,0,0,4,5
Wolves,Hwang Hee-Chan,hwang hee-chan,0,0,0,0,0,0,1,2,3,3,0,0,4,5
Wolves,Yerson Mosquera,yerson mosquera,0,0,0,0,0,0,2,2,2,2,0,0,4,4
Wolves,Ladislav Krejcí,ladislav krejci,0,0,0,0,0,0,2,2,1,2,0,0,3,4
Wolves,Matt Doherty,matt doherty,0,0,0,0,0,0,1,1,2,3,0,0,3,4
Wolves,Jhon Arias,jhon arias,0,0,0,0,0,0,1,1,2,2,0,0,3,3
Wolves,David Møller Wolfe,david moller wolfe,0,0,0,0,0,0,2,3,1,1,0,0,3,4
Wolves,Tolu Arokodare,tolu arokodare,0,0,0,0,0,0,2,3,1,2,0,0,3,5
Wolves,Jean-Ricner Bellegarde,jean-ricner bellegarde,0,0,0,0,0,0,1,2,2,3,0,0,3,5
Wolves,Hugo Bueno,hugo bueno,0,0,0,0,0,0,1,1,2,2,0,0,3,3
Wolves,Jørgen Strand Larsen,jorgen strand larsen,0,0,0,0,0,0,1,1,1,3,0,0,2,4
Wolves,Fernando López,fernando lopez,0,0,0,0,0,0,0,1,2,2,0,0,2,3
Wolves,Mateus Mané,mateus mane,0,0,0,0,0,0,2,3,0,0,0,0,2,3
Wolves,Toti Gomes,toti gomes,0,0,0,0,0,0,1,1,1,2,0,0,2,3
Wolves,Emmanuel Agbadou,emmanuel agbadou,0,0,0,0,0,0,0,0,2,3,0,0,2,3
Wolves,Rodrigo Gomes,rodrigo gomes,0,0,0,0,0,0,0,2,1,3,0,0,1,5
Wolves,Adam Armstrong,adam armstrong,0,0,0,0,0,0,1,2,0,0,0,0,1,2
Wolves,Angel Gomes,angel gomes,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Wolves,Marshall Munetsi,marshall munetsi,0,0,0,0,0,0,0,0,1,2,0,0,1,2
Wolves,José Sá,jose sa,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Wolves,Pedro Lima,pedro lima,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Wolves,Sasa Kalajdzic,sasa kalajdzic,0,0,0,0,0,0,0,0,0,1,0,0,0,1
