squad,season_id,window,direction,player,norm_key,pos,age,nat,club,fee_eur,fee_text,photo
Genoa,2026,summer,in,Gianluca Rossi,gianluca rossi,Central Midfield,20,Italy,Renate,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Genoa,2026,summer,in,Leonardo Consiglio,leonardo consiglio,Goalkeeper,19,Italy,Dolomiti,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Genoa,2026,summer,in,Gabriele Pessolani,gabriele pessolani,Attacking Midfield,20,Italy,Pergolettese,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Genoa,2026,summer,in,Tommaso Pittino,tommaso pittino,Centre-Back,21,Italy,Dolomiti,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/934863-1710141092.jpg?lm=1
Genoa,2026,summer,in,Lorenzo Gagliardi,lorenzo gagliardi,Centre-Back,22,Italy,Pineto,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/821052-1751981905.jpg?lm=1
Genoa,2026,summer,in,Simone Calvani,simone calvani,Goalkeeper,21,Italy,Forlì,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/818929-1692961939.jpg?lm=1
Genoa,2026,summer,in,Daniel Fossati,daniel fossati,Centre-Forward,22,Italy,Foll. Gavorrano,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Genoa,2026,summer,in,Edoardo Meconi,edoardo meconi,Left-Back,21,Italy,Pergolettese,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/937669-1745691736.png?lm=1
Genoa,2026,summer,out,Jeff Ekhator,jeff ekhator,Centre-Forward,19,Italy,Juventus,16399999.0,€16.40m,https://img.a.transfermarkt.technology/portrait/medium/934878-1757663221.jpg?lm=1
Genoa,2026,summer,out,David Ankeye,david ankeye,Centre-Forward,24,Nigeria,Zelez. Pancevo,500000.0,€500k,https://img.a.transfermarkt.technology/portrait/medium/881610-1737554623.jpg?lm=1
Genoa,2026,summer,out,Ruslan Malinovskyi,ruslan malinovskyi,Central Midfield,33,Ukraine,Trabzonspor,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/207877-1663583019.jpg?lm=1
Genoa,2026,summer,out,Leonardo Consiglio,leonardo consiglio,Goalkeeper,19,Italy,Modena,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Genoa,2026,summer,out,Lorenzo Gagliardi,lorenzo gagliardi,Centre-Back,22,Italy,Team Altamura,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/821052-1751981905.jpg?lm=1
Genoa,2026,summer,out,Edoardo Meconi,edoardo meconi,Left-Back,21,Italy,AS Gubbio,,loan transfer,https://img.a.transfermarkt.technology/portrait/medium/937669-1745691736.png?lm=1
Genoa,2026,summer,out,Caleb Ekuban,caleb ekuban,Centre-Forward,32,Ghana,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/199953-1707213734.jpg?lm=1
Genoa,2026,summer,out,Nicola Leali,nicola leali,Goalkeeper,33,Italy,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/136111-1692963337.jpg?lm=1
Genoa,2026,summer,out,Daniele Sommariva,daniele sommariva,Goalkeeper,28,Italy,Without Club,,-,https://img.a.transfermarkt.technology/portrait/medium/312773-1692963278.jpg?lm=1
Genoa,2026,summer,out,Lorenzo Colombo,lorenzo colombo,Centre-Forward,24,Italy,AC Milan,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/487843-1730186148.jpg?lm=1
Genoa,2026,summer,out,Nils Zätterström,nils zatterstrom,Centre-Back,21,Sweden,Sheff Utd,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1191520-1723542792.jpg?lm=1
Genoa,2026,summer,out,Maxwel Cornet,maxwel cornet,Left Winger,29,Cote d'Ivoire,West Ham,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/234781-1739281982.jpg?lm=1
Genoa,2026,summer,out,Jean Onana,jean onana,Defensive Midfield,26,Cameroon,Besiktas,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/656441-1727356174.png?lm=1
Genoa,2026,summer,out,Benjamin Siegrist,benjamin siegrist,Goalkeeper,34,Switzerland,FC Rapid 1923,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/111426-1770273039.jpg?lm=1
Genoa,2026,summer,out,Giovanni Lauricella,giovanni lauricella,Left-Back,19,Italy,FC Empoli,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1182178-1758867356.jpg?lm=1
Hellas Verona,2026,summer,in,Leorat Bega,leorat bega,Defensive Midfield,22,Switzerland,Stade Nyonnais,,free transfer,https://img.a.transfermarkt.technology/portrait/medium/708436-1766434491.jpeg?lm=1
Hellas Verona,2026,summer,in,Daniele Ghilardi,daniele ghilardi,Centre-Back,23,Italy,Roma,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/701819-1725530673.jpg?lm=1
Hellas Verona,2026,summer,in,Nicolò Calabrese,nicolo calabrese,Centre-Back,21,Italy,Carrarese,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/815529-1779522515.jpg?lm=1
Hellas Verona,2026,summer,in,Grigoris Kastanos,grigoris kastanos,Central Midfield,28,Cyprus,Aris Limassol,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/298635-1725530400.jpg?lm=1
Hellas Verona,2026,summer,in,Dailon Livramento,dailon livramento,Centre-Forward,25,Cape Verde,Casa Pia,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/676411-1780406426.jpg?lm=1
Hellas Verona,2026,summer,in,Stefan Mitrović,stefan mitrovic,Left Winger,23,Serbia,Asteras Aktor,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/726526-1694785618.jpg?lm=1
Hellas Verona,2026,summer,in,Christian Corradi,christian corradi,Centre-Back,21,Italy,Trento,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/936183-1736760722.jpg?lm=1
Hellas Verona,2026,summer,in,Mathis Lambourde,mathis lambourde,Centre-Forward,20,France,Reggiana,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/979766-1695915147.jpg?lm=1
Hellas Verona,2026,summer,in,Yellu Santiago,yellu santiago,Central Midfield,22,Spain,Arouca,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/941869-1751617638.jpg?lm=1
Hellas Verona,2026,summer,in,Charlys,charlys,Defensive Midfield,22,Brazil,Reggiana,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1082519-1681675943.jpg?lm=1
Hellas Verona,2026,summer,in,Denis Cazzadori,denis cazzadori,Second Striker,22,Italy,Union Brescia,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Hellas Verona,2026,summer,in,Federico Magro,federico magro,Goalkeeper,21,Italy,Foggia,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/818898-1715635789.jpg?lm=1
Hellas Verona,2026,summer,in,Alessandro Pavanati,alessandro pavanati,Attacking Midfield,19,Italy,Reggiana,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Hellas Verona,2026,summer,in,Adi Kurti,adi kurti,Centre-Back,20,Albania,Ternana,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/903213-1756186727.jpg?lm=1
Hellas Verona,2026,summer,in,Nicola Patanè,nicola patane,Right Winger,22,Italy,Virtus Verona,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/815539-1704956033.jpg?lm=1
Hellas Verona,2026,summer,in,Karlson Nwanege,karlson nwanege,Centre-Back,21,Sweden,Perugia,,End of loan 30/06/2026,https://img.a.transfermarkt.technology/portrait/medium/1062513-1725266547.jpg?lm=1
