player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Donny van de Beek,Girona,MF,28.0,41,0.0,0.0,4.39,2.2,0.0,0.0,0.0,0.0,0.0,2.0,,donny van de beek,2024-07-11,288255,2026-07-03T08:31:48,2024-07-11,,https://img.a.transfermarkt.technology/portrait/medium/288255-1642174403.jpg?lm=1
Fran Beltrán,Girona,MF,26.0,1012,0.09,0.0,0.89,0.27,0.714,0.982,1.25,0.893,0.804,0.0,,fran beltran,2026-01-20,423444,2026-07-03T08:31:48,2026-01-20,,https://img.a.transfermarkt.technology/portrait/medium/423444-1693921591.jpg?lm=1
Hugo Rincón,Girona,DF,22.0,1750,0.05,0.05,0.36,0.1,1.804,0.258,1.701,1.649,2.732,0.052,,hugo rincon,2025-07-29,834487,2026-07-03T08:31:48,2025-07-29,,https://img.a.transfermarkt.technology/portrait/medium/834487-1709677097.png?lm=1
Iván Martín,Girona,MF,26.0,2532,0.0,0.04,0.46,0.18,0.534,0.605,1.388,1.068,1.103,0.107,,ivan martin,2023-07-22,341278,2026-07-03T08:31:48,2023-07-22,,https://img.a.transfermarkt.technology/portrait/medium/341278-1703177977.jpg?lm=1
Jhon Solis,Girona,MF,20.0,380,0.0,0.0,0.71,0.47,0.0,0.952,0.714,0.476,1.667,0.0,,jhon solis,2023-09-01,742521,2026-07-03T08:31:48,2023-09-01,,https://img.a.transfermarkt.technology/portrait/medium/742521-1715882394.jpg?lm=1
Joel Roca,Girona,"MF,FW",20.0,1473,0.18,0.06,2.93,0.98,2.012,0.122,0.671,0.793,2.744,0.244,,joel roca,2024-07-01,895326,2026-07-03T08:31:48,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/895326-1727113258.jpg?lm=1
Juan Arango,Girona,MF,19.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,juan arango,,1025582,2026-07-03T08:31:48,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Ladislav Krejčí,Girona,DF,26.0,180,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,,ladislav krejci,2024-07-01,345911,2026-07-03T08:31:48,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/345911-1716965804.jpg?lm=1
Lancinet Kourouma,Girona,FW,21.0,43,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,,lancinet kourouma,,,,,,
Marc-André ter Stegen,Girona,GK,33.0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,marc-andre ter stegen,2026-01-20,74857,2026-07-03T08:31:48,2026-01-20,,https://img.a.transfermarkt.technology/portrait/medium/74857-1674465246.jpg?lm=1
Paulo Gazzaniga,Girona,GK,33.0,3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,paulo gazzaniga,2023-07-01,195488,2026-07-03T08:31:48,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/195488-1769783747.jpg?lm=1
Portu,Girona,"FW,MF",33.0,474,0.0,0.0,1.71,0.95,3.396,0.377,0.189,1.132,0.755,0.566,,portu,2023-09-01,99353,2026-07-03T08:31:48,2023-09-01,,https://img.a.transfermarkt.technology/portrait/medium/99353-1669365520.jpg?lm=1
Thomas Lemar,Girona,MF,29.0,1258,0.21,0.07,1.22,0.57,4.0,0.357,1.071,1.357,1.429,0.0,,thomas lemar,2025-07-30,205562,2026-07-03T08:31:48,2025-07-30,,https://img.a.transfermarkt.technology/portrait/medium/205562-1686662075.jpg?lm=1
Viktor Tsyhankov,Girona,"MF,FW",27.0,2630,0.21,0.17,1.75,0.72,4.11,0.719,0.753,0.753,1.199,0.171,,viktor tsyhankov,,,,,,
Vitor Reis,Girona,DF,19.0,3138,0.03,0.03,0.54,0.11,0.0,1.003,0.917,1.146,0.688,0.029,,vitor reis,2025-08-08,1005575,2026-07-03T08:31:48,2025-08-08,,https://img.a.transfermarkt.technology/portrait/medium/1005575-1680449774.jpg?lm=1
Vladyslav Krapyvtsov,Girona,GK,20.0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,vladyslav krapyvtsov,2025-01-01,1169436,2026-07-03T08:31:48,2025-01-01,,https://img.a.transfermarkt.technology/portrait/medium/1169436-1692105603.png?lm=1
