player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,nationality,tm_position,tm_photo,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Haris Belkebla,Angers,MF,31,2875,0.0,0.0,0.16,0.0,0.157,0.94,1.379,0.752,1.693,0.0,1800000.0,0.005,0.005,0.018,0.498,0.155,0.215,0,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Algeria,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/138055-1750956421.png?lm=1,6.77,87.27,43.28,25.0,52.94,63.89,54.29,61.9,60.9,0.5,0.0,1.406,0.062,0.25,1.0,4.594,0.594,1.438,4.469,0.188,0.219,0.562,5.406,0.0,8.0,0.0,0.0,0.0,0.0,33.0,2880.0,haris belkebla,2028-06-30,138055.0,2026-07-09T08:46:36,2024-08-17,
Harouna Djibrin,Angers,MF,18,336,0.54,0.27,1.87,0.8,2.162,1.351,1.081,2.432,2.162,0.0,,0.0,0.54,0.27,0.81,1.87,0.0,2,1,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harouna djibrin,,,,,
Hervé Koffi,Angers,GK,28,2658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,77.1,33.3,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Burkina Faso,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/415383-1672499883.jpg?lm=1,7.35,70.14,36.88,0.0,0.0,100.0,87.5,92.31,90.48,0.0,0.0,0.914,0.0,0.0,0.0,10.425,0.237,0.068,0.406,0.135,0.0,0.0,0.406,4.163,10.0,1.32,0.44,0.305,0.0,30.0,2659.0,herve koffi,,,,,
Himad Abdelli,Angers,MF,25,943,0.0,0.0,1.05,0.48,0.857,1.238,1.619,1.524,1.143,0.095,5000000.0,0.162,0.034,0.046,0.753,1.256,0.519,2,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Algeria,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/592979-1750956367.png?lm=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,himad abdelli,,,,,
Jacques Ekomie,Angers,"DF,MF",21,2239,0.0,0.0,0.48,0.12,2.61,1.245,1.285,1.205,1.245,0.241,9000000.0,0.041,0.041,0.056,0.482,0.522,0.189,0,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Gabon,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/970279-1750955900.png?lm=1,6.56,81.0,36.11,14.29,38.89,56.67,50.0,54.97,53.91,0.482,0.04,1.969,0.08,0.402,1.246,4.299,1.045,1.366,4.219,0.04,0.161,0.562,4.5,0.0,5.0,0.0,0.0,0.0,0.0,32.0,2240.0,jacques ekomie,2027-06-30,970279.0,2026-07-09T08:46:36,2024-07-31,
Jim Allevinah,Angers,MF,30,133,0.68,0.0,3.38,0.68,0.667,0.0,0.667,0.0,2.667,0.667,1000000.0,0.58,0.58,0.023,0.818,4.091,0.666,1,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Gabon,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/646733-1750956955.png?lm=1,6.77,89.47,100.0,0.0,14.29,0.0,100.0,42.86,46.67,0.682,0.0,0.682,0.682,0.682,0.0,7.5,0.682,0.0,4.091,0.0,2.045,0.682,6.818,0.0,0.0,0.0,0.0,0.0,0.0,6.0,132.0,jim allevinah,2027-06-30,646733.0,2026-07-09T08:46:36,2024-07-01,
Jordan Lefort,Angers,DF,31,3060,0.0,0.06,0.32,0.06,0.676,1.382,0.971,0.647,0.559,0.059,1000000.0,0.019,0.019,0.026,0.235,0.324,0.242,0,2,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Mauritania,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/192492-1750956054.png?lm=1,6.81,86.59,42.74,41.67,62.5,56.86,62.71,57.66,59.18,0.265,0.088,5.206,0.059,0.471,1.412,4.0,1.088,0.853,2.324,0.088,0.059,0.294,3.647,0.0,10.0,0.0,0.0,0.0,0.0,34.0,3060.0,jordan lefort,2029-06-30,192492.0,2026-07-09T08:46:36,2023-07-01,
Justin-Noël Kalumba,Angers,"FW,MF",20,224,0.0,0.0,0.4,0.0,6.0,0.4,1.2,1.2,1.2,0.0,800000.0,0.007,0.007,0.107,1.607,0.402,0.128,0,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1101641-1750956932.png?lm=1,6.6,76.0,50.0,46.67,28.57,50.0,11.11,43.33,35.9,1.6,0.0,1.2,0.4,0.0,0.4,4.0,0.4,1.2,5.2,0.0,1.2,1.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,225.0,justin-noel kalumba,,,,,
Lanroy Machine,Angers,FW,19,519,0.17,0.0,2.6,0.69,0.862,0.0,0.69,1.552,0.862,0.69,1500000.0,0.347,0.347,0.036,0.773,2.897,0.554,1,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/1096744-1762884735.jpg?lm=1,6.46,79.31,100.0,20.0,41.67,62.5,32.26,37.5,35.44,0.699,0.0,0.699,0.524,0.0,0.0,2.272,1.748,0.874,3.146,0.0,0.35,0.874,5.068,0.0,0.0,0.0,0.0,0.0,0.0,22.0,515.0,lanroy machine,2028-06-30,1096744.0,2026-07-09T08:46:36,2025-07-01,
Lilian Raolisoa,Angers,"MF,DF",25,1966,0.09,0.18,0.73,0.23,4.541,0.642,1.422,1.239,0.78,0.046,4000000.0,0.047,0.047,0.161,1.003,0.729,0.381,2,4,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/829874-1750955865.png?lm=1,6.82,73.85,40.0,18.18,42.5,61.54,56.6,50.59,52.02,1.002,0.364,2.095,0.319,0.182,0.683,3.78,1.366,1.457,3.917,0.0,0.319,0.774,5.648,0.0,2.0,0.0,0.0,0.0,0.0,32.0,1976.0,lilian raolisoa,2028-06-30,829874.0,2026-07-09T08:46:36,2023-07-01,
Louis Mouton,Angers,MF,23,1891,0.1,0.05,1.71,0.38,1.476,0.571,1.238,0.952,0.762,0.19,4000000.0,0.142,0.142,0.108,1.017,1.664,0.369,2,1,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/904662-1727722197.jpg?lm=1,6.56,75.53,50.0,29.03,35.29,57.5,35.71,43.04,41.5,1.036,0.188,0.659,0.612,0.188,0.659,3.344,0.706,1.083,3.203,0.047,0.565,0.565,7.347,0.0,3.0,0.0,0.0,0.0,0.0,32.0,1911.0,louis mouton,2028-06-30,904662.0,2026-07-09T08:46:36,2025-07-01,
Marius Courcoul,Angers,MF,18,374,0.0,0.0,0.48,0.24,0.0,0.714,2.143,1.429,0.714,0.0,2500000.0,0.014,0.014,0.035,0.804,0.536,0.252,0,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/1075575-1750956409.png?lm=1,6.59,79.62,33.33,0.0,25.0,60.0,50.0,51.35,51.16,0.724,0.0,1.93,0.0,0.483,0.724,4.102,0.724,2.172,4.584,0.0,0.0,0.241,5.55,0.0,0.0,0.0,0.0,0.0,0.0,18.0,373.0,marius courcoul,2027-06-30,1075575.0,2026-07-09T08:46:36,2025-02-01,
Marius Louer,Angers,DF,18,543,0.0,0.0,0.0,0.0,1.5,0.333,2.667,1.167,0.5,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/1103652-1779447824.jpg?lm=1,6.63,86.34,50.0,33.33,80.0,75.0,41.67,65.85,60.38,0.489,0.0,3.261,0.0,0.326,0.489,4.728,0.815,2.446,4.402,0.0,0.326,0.652,3.424,0.0,1.0,0.0,0.0,0.0,0.0,9.0,552.0,marius louer,2028-06-30,1103652.0,2026-07-09T08:46:36,2025-07-01,
Melvin Zinga,Angers,GK,23,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.15,0,0,61.5,0.0,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/548347-1750955335.png?lm=1,6.9,64.06,32.35,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.814,0.0,0.0,0.0,8.959,0.407,0.407,0.407,0.0,0.0,0.0,0.0,3.258,0.0,0.0,0.0,0.407,0.0,3.0,221.0,melvin zinga,2022-07-01,548347.0,2026-07-09T08:46:36,2022-07-01,
Oumar Pona,Angers,GK,19,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.224,0,0,46.2,0.0,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Mali,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/1073176-1750955375.png?lm=1,6.55,78.72,50.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1.5,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.5,0.5,0.0,2.0,180.0,oumar pona,2027-06-30,1073176.0,2026-07-09T08:46:36,2025-07-01,
Ousmane Camara,Angers,DF,22,2718,0.03,0.0,0.43,0.17,0.099,1.126,0.96,0.728,0.232,0.033,8000000.0,0.021,0.021,0.008,0.132,0.43,0.233,1,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Mali,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/804711-1672669470.jpg?lm=1,6.84,90.6,41.58,0.0,60.0,63.83,52.38,65.12,58.12,0.132,0.0,5.826,0.033,0.828,1.026,3.873,1.821,0.993,1.854,0.066,0.033,0.099,1.125,0.0,10.0,0.0,0.0,0.0,0.0,32.0,2719.0,ousmane camara,2029-06-30,804711.0,2026-07-09T08:46:36,2022-08-16,
Pierrick Capelle,Angers,MF,38,651,0.0,0.14,1.38,0.14,1.667,0.972,1.806,2.083,1.528,0.0,150000.0,0.101,0.101,0.085,0.84,1.4,0.381,0,1,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/214532-1750956399.png?lm=1,6.57,80.97,64.71,25.0,60.0,68.42,35.71,42.11,41.11,0.818,0.136,1.227,0.545,0.136,0.955,4.773,0.682,1.773,4.364,0.136,0.409,0.409,6.273,0.0,0.0,0.0,0.0,0.0,0.0,16.0,660.0,pierrick capelle,,,,,
Prosper Peter,Angers,FW,17,1273,0.35,0.0,1.63,0.99,0.0,0.284,0.213,2.128,2.128,1.064,15000000.0,0.435,0.435,0.064,0.788,1.647,0.529,5,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/1103958-1758210995.jpg?lm=1,6.56,70.92,50.0,0.0,15.0,42.86,43.9,34.13,37.98,0.778,0.071,0.636,0.212,0.0,0.283,2.404,2.545,0.212,3.04,0.0,0.495,0.424,4.03,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1273.0,prosper peter,2028-06-30,1103958.0,2026-07-09T08:46:36,2025-07-01,
Sidiki Cherif,Angers,"FW,MF",18,1157,0.31,0.0,2.18,0.93,0.465,0.465,0.233,1.163,1.24,0.853,18000000.0,0.214,0.214,0.046,0.379,2.123,0.432,4,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Guinea,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/986288-1770977210.jpg?lm=1,6.59,74.67,50.0,16.67,32.35,37.5,33.33,39.33,37.14,0.387,0.077,0.155,0.773,0.0,0.541,3.17,1.314,0.232,2.706,0.0,0.232,0.851,3.015,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1164.0,sidiki cherif,,,,,
Yassin Belkhdim,Angers,MF,23,2135,0.08,0.08,1.39,0.59,1.772,1.35,1.814,1.224,1.224,0.084,7000000.0,0.095,0.095,0.063,0.621,1.366,0.311,2,2,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Morocco,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/807688-1750956388.png?lm=1,6.76,84.12,55.0,14.29,27.78,69.49,42.31,55.76,53.93,0.628,0.168,0.963,0.377,0.251,1.508,3.476,0.461,1.717,3.853,0.0,0.293,0.209,4.9,0.0,3.0,0.0,0.0,0.0,0.0,27.0,2149.0,yassin belkhdim,2028-06-30,807688.0,2026-07-09T08:46:36,2024-01-01,
Assane Dioussé,Auxerre,MF,27,219,0.0,0.0,1.64,0.41,2.5,2.5,0.417,2.917,1.25,0.0,500000.0,0.075,0.075,0.071,1.444,1.925,0.432,0,0,,,44,1.2941176470588236,0.6808510638297872,34,1.0,0.1111111111111111,Senegal,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/287635-1657714916.jpg?lm=1,6.63,92.05,75.0,33.33,50.0,40.0,28.57,47.37,42.31,1.107,0.0,1.475,0.738,0.738,1.844,7.377,0.738,0.738,3.32,0.0,0.0,0.369,15.123,0.0,0.0,0.0,0.0,0.0,0.0,15.0,244.0,assane diousse,2027-06-30,287635.0,2026-07-09T08:46:39,2023-08-10,
Bryan Okoh,Auxerre,DF,22,1005,0.27,0.0,0.72,0.27,0.0,2.321,0.804,1.161,0.714,0.0,4000000.0,0.087,0.087,0.023,0.269,0.716,0.164,3,0,,,44,1.2941176470588236,0.6808510638297872,34,1.0,0.1111111111111111,Switzerland,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/539795-1722523891.png?lm=1,7.08,84.63,41.51,0.0,0.0,69.23,67.39,58.33,63.41,0.356,0.0,6.766,0.178,1.157,2.404,4.273,2.76,0.801,1.869,0.178,0.0,0.0,2.047,0.0,3.0,0.0,0.0,0.0,0.0,13.0,1011.0,bryan okoh,2029-06-30,539795.0,2026-07-09T08:46:39,2026-01-29,
Clément Akpa,Auxerre,DF,23,1944,0.0,0.0,0.28,0.0,1.389,1.065,0.88,0.556,1.389,0.046,9000000.0,0.011,0.011,0.02,0.418,0.278,0.117,0,0,,,44,1.2941176470588236,0.6808510638297872,34,1.0,0.1111111111111111,Cote d'Ivoire,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/806793-1709202392.jpg?lm=1,6.7,80.52,36.41,33.33,84.62,61.29,53.73,73.96,65.64,0.416,0.046,4.295,0.139,0.416,0.97,3.556,1.662,0.877,3.279,0.231,0.092,0.508,5.033,0.0,4.0,0.0,0.0,0.0,0.0,26.0,1949.0,clement akpa,2028-06-30,806793.0,2026-07-09T08:46:39,2022-07-01,
Danny Loader,Auxerre,"MF,FW",24,2517,0.11,0.11,2.22,0.61,1.143,0.321,0.893,2.286,1.679,0.143,,0.0,0.11,0.11,0.33,2.22,0.0,3,3,,,44,1.2941176470588236,0.6808510638297872,34,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,danny loader,,,,,
Donovan Léon,Auxerre,GK,32,2460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,0.0,0.0,0.002,0.037,0.0,0.06,0,0,73.1,31.0,44,1.2941176470588236,0.6808510638297872,34,1.0,0.1111111111111111,French Guiana,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/170911-1593969267.jpg?lm=1,7.03,51.1,33.98,0.0,100.0,66.67,87.5,76.92,80.95,0.037,0.0,0.767,0.0,0.0,0.037,8.291,0.256,0.073,0.365,0.183,0.0,0.037,1.315,3.506,8.0,0.402,0.767,0.365,0.0,29.0,2464.0,donovan leon,2027-06-30,170911.0,2026-07-09T08:46:39,2020-07-01,
Elisha Owusu,Auxerre,MF,27,2344,0.0,0.0,0.27,0.0,0.038,0.808,1.962,1.846,0.846,0.0,4000000.0,0.005,0.005,0.038,0.456,0.266,0.21,0,0,,,44,1.2941176470588236,0.6808510638297872,34,1.0,0.1111111111111111,Ghana,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/395695-1626767315.jpg?lm=1,6.78,81.04,45.07,0.0,76.92,63.77,37.14,54.89,52.05,0.459,0.0,1.759,0.115,0.344,0.994,5.776,0.497,1.683,3.863,0.038,0.382,0.382,5.699,0.0,7.0,0.0,0.0,0.0,0.0,29.0,2353.0,elisha owusu,2027-06-30,395695.0,2026-07-09T08:46:39,2023-01-16,
Francisco Sierralta,Auxerre,DF,28,861,0.1,0.0,0.73,0.21,0.0,0.938,0.625,0.833,0.521,0.0,1200000.0,0.075,0.075,0.004,0.104,0.725,0.149,1,0,,,44,1.2941176470588236,0.6808510638297872,34,1.0,0.1111111111111111,Chile,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/371436-1724773614.jpg?lm=1,6.8,89.63,43.33,0.0,100.0,42.86,71.11,65.63,68.83,0.209,0.0,5.847,0.313,0.522,0.835,2.819,3.341,0.626,2.193,0.0,0.0,0.209,2.193,0.0,2.0,0.0,0.0,0.0,0.0,10.0,862.0,francisco sierralta,2029-06-30,371436.0,2026-07-09T08:46:39,2025-07-01,
Fredrik Oppegard,Auxerre,"MF,DF",22,1246,0.0,0.0,0.72,0.14,3.478,1.014,1.449,0.58,0.58,0.145,1500000.0,0.041,0.041,0.045,0.8,0.727,0.186,0,0,,,44,1.2941176470588236,0.6808510638297872,34,1.0,0.1111111111111111,Norway,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/539665-1621853412.jpg?lm=1,6.55,79.64,26.92,29.17,52.94,69.23,0.0,60.56,53.09,0.78,0.071,1.702,0.355,0.355,0.922,3.191,0.0,1.277,3.05,0.0,0.213,0.638,7.021,0.0,1.0,0.0,0.0,0.0,0.0,23.0,1269.0,fredrik oppegard,2028-06-30,539665.0,2026-07-09T08:46:39,2025-01-29,
Gabriel Osho,Auxerre,DF,26,134,0.0,0.0,0.0,0.0,1.333,0.0,2.0,1.333,0.667,0.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.421,0,0,,,44,1.2941176470588236,0.6808510638297872,34,1.0,0.1111111111111111,Nigeria,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/364409-1684493913.jpg?lm=1,6.65,93.24,25.0,0.0,0.0,66.67,40.0,66.67,54.55,0.0,0.0,1.343,0.0,1.343,0.672,2.015,1.343,1.343,2.687,0.672,0.0,0.0,4.03,0.0,1.0,0.0,0.0,0.0,0.0,2.0,134.0,gabriel osho,,,,,
