player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,nationality,tm_position,tm_photo,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Ilyas Ansah,Union Berlin,"MF,FW",20,1892,0.24,0.05,1.57,0.57,0.905,0.19,0.429,1.0,2.048,0.429,12000000.0,0.176,0.176,0.07,0.781,1.515,0.302,5,1,,,Germany,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/1035765-1755624476.jpg?lm=1,6.64,74.92,38.46,21.05,34.72,58.82,24.29,36.68,33.78,0.754,0.047,0.801,0.377,0.141,0.236,3.677,0.801,0.471,3.96,0.047,0.707,1.179,4.809,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1909.0,ilyas ansah,2025-07-01,1035765,2026-07-03T17:45:16,2025-07-01,
Janik Haberer,Union Berlin,MF,31,1646,0.0,0.05,0.6,0.05,3.661,0.546,1.038,1.311,1.148,0.055,2000000.0,0.033,0.033,0.079,1.137,0.596,0.142,0,1,,,Germany,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/177779-1692707721.jpg?lm=1,6.69,76.28,43.9,48.53,37.5,51.43,38.18,48.39,45.25,1.14,0.163,2.334,0.434,0.163,0.434,3.908,1.14,0.977,3.257,0.0,0.38,0.326,5.862,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1658.0,janik haberer,2027-06-30,177779,2026-07-03T17:45:16,2022-07-01,
Jeong Woo-yeong,Union Berlin,"MF,FW",25,1197,0.3,0.08,1.65,0.6,2.331,0.602,0.526,0.977,1.504,0.301,3500000.0,0.0,0.3,0.08,0.24,1.65,0.0,4,1,,,"Korea, South",Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/297583-1723707463.jpg?lm=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeong woo-yeong,,,,,
Josip Juranović,Union Berlin,MF,29,330,0.27,0.27,1.09,0.27,10.811,0.0,1.081,0.0,0.811,0.0,2000000.0,0.211,0.211,0.36,3.495,1.165,0.362,1,1,,,Croatia,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/362977-1691614466.jpg?lm=1,6.98,74.81,36.84,34.15,0.0,42.86,50.0,66.67,64.71,3.234,0.808,1.886,0.0,1.078,0.269,3.234,0.269,0.808,2.695,0.0,0.269,0.0,7.814,0.0,0.0,0.0,0.0,0.0,0.0,11.0,334.0,josip juranovic,2023-01-22,362977,2026-07-03T17:45:16,2023-01-22,
Leopold Querfeld,Union Berlin,DF,21,2705,0.03,0.0,0.96,0.33,0.1,1.163,0.897,1.528,0.93,0.0,20000000.0,0.13,0.054,0.077,0.7,0.966,0.165,3,0,,,Austria,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/597432-1726351317.jpg?lm=1,6.87,79.95,52.73,0.0,57.14,57.69,64.65,54.61,60.29,0.699,0.1,7.322,0.2,0.799,1.198,2.862,4.26,0.999,2.763,0.166,0.067,0.133,4.294,0.0,5.0,0.0,0.0,0.0,0.0,31.0,2704.0,leopold querfeld,2024-07-01,597432,2026-07-03T17:45:16,2024-07-01,
Linus Güther,Union Berlin,MF,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,Germany,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/1378338-1775922415.jpg?lm=1,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,linus guther,,,,,
Livan Burcu,Union Berlin,"MF,FW",20,651,0.14,0.14,2.21,0.41,2.083,0.278,0.972,0.833,1.944,0.139,4000000.0,0.313,0.313,0.074,1.304,2.319,0.389,1,1,,,Türkiye,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/519872-1691615485.jpg?lm=1,6.73,79.81,53.85,26.67,46.88,58.33,10.0,51.28,46.59,1.237,0.0,1.237,0.687,0.0,0.275,4.947,0.137,0.962,5.496,0.0,0.275,2.061,8.519,0.0,0.0,0.0,0.0,0.0,0.0,18.0,655.0,livan burcu,2024-07-20,519872,2026-07-03T17:45:16,2024-07-20,
Marin Ljubicic,Union Berlin,FW,23,22,8.18,0.0,8.18,8.18,0.0,0.0,0.0,10.0,0.0,0.0,2000000.0,12.321,12.321,0.0,0.0,16.364,5.024,2,0,,,Croatia,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/838236-1755624645.jpg?lm=1,6.95,40.0,0.0,0.0,100.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.5,0.0,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,marin ljubicic,2025-02-02,838236,2026-07-03T17:45:16,2025-02-02,
Matheo Raab,Union Berlin,GK,26,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100.0,100.0,Germany,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/386685-1755624725.jpg?lm=1,9.7,53.13,42.31,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,2.0,0.0,1.0,90.0,matheo raab,2025-07-11,386685,2026-07-03T17:45:16,2025-07-11,
Oliver Burke,Union Berlin,"FW,MF",28,1664,0.32,0.11,1.84,0.81,2.108,0.216,0.378,0.541,0.432,0.432,3000000.0,0.32,0.32,0.121,1.218,1.801,0.492,6,2,,,Scotland,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/341317-1755624913.jpg?lm=1,6.75,72.13,66.67,34.21,31.43,58.33,45.45,33.33,38.36,1.171,0.16,0.266,0.266,0.106,0.266,3.034,1.597,0.373,1.65,0.0,0.798,0.585,6.44,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1691.0,oliver burke,2029-06-30,341317,2026-07-03T17:45:16,2025-07-01,
Rani Khedira,Union Berlin,MF,31,2830,0.16,0.03,0.73,0.32,0.828,1.178,1.115,1.656,0.573,0.064,2000000.0,0.072,0.072,0.073,0.505,0.725,0.208,5,1,,,Tunisia,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/124410-1692707430.jpg?lm=1,6.72,66.62,27.63,26.92,23.08,55.93,48.72,46.2,46.99,0.508,0.127,2.127,0.254,0.159,1.175,3.048,1.206,1.048,2.508,0.032,0.286,0.095,3.619,0.0,6.0,0.0,0.0,0.0,0.0,32.0,2835.0,rani khedira,2021-07-01,124410,2026-07-03T17:45:16,2021-07-01,
Robert Skov,Union Berlin,"DF,MF",29,220,0.0,0.0,0.41,0.0,5.0,0.833,2.083,2.083,1.25,0.0,2000000.0,0.012,0.012,0.031,0.381,0.381,0.123,0,0,,,Denmark,Left Midfield,https://img.a.transfermarkt.technology/portrait/medium/270393-1726350741.jpg?lm=1,6.57,67.74,11.11,23.08,100.0,100.0,50.0,54.55,54.17,0.404,0.0,2.825,0.0,0.0,0.807,5.247,0.404,2.422,4.843,0.0,0.0,1.211,4.843,0.0,0.0,0.0,0.0,0.0,0.0,3.0,223.0,robert skov,2024-09-04,270393,2026-07-03T17:45:16,2024-09-04,
