player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,nationality,tm_position,tm_photo,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Mees de Wit,AZ Alkmaar,DF,27.0,2480,0.11,0.22,0.73,0.4,1.413,0.906,1.304,1.123,0.435,0.036,6000000.0,0,0.11,0.22,0.66,0.73,0,3,6,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.75,82.89,50.67,23.68,65.38,52.38,50.0,51.7,51.23,1.0860820595333869,0.2534191472244569,2.968624296057924,0.1448109412711182,0.3258246178600161,1.013676588897828,3.8374899436846337,1.2308930008045051,1.1946902654867255,3.2944489139179405,0.1086082059533386,0.1448109412711182,0.6154465004022526,11.222847948511664,0.0,4.0,0.0,0.0,0.0,0.0,31.0,2486.0,Netherlands,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/315254-1753350882.jpg?lm=1,mees de wit,2029-06-30,315254.0,2026-07-09T08:49:33,2022-07-01,
Mexx Meerdink,AZ Alkmaar,FW,22.0,885,0.31,0.1,3.66,1.32,0.102,0.0,0.408,1.531,1.327,0.51,8000000.0,0,0.31,0.1,0.3,3.66,0,3,1,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.67,68.23,80.0,0.0,60.0,60.0,41.1,42.86,41.86,0.7078651685393258,0.2022471910112359,0.7078651685393258,0.4044943820224719,0.0,0.0,2.528089887640449,3.033707865168539,0.3033707865168539,2.426966292134831,0.1011235955056179,0.5056179775280899,0.6067415730337078,5.966292134831461,0.0,1.0,0.0,0.0,0.0,0.0,19.0,890.0,Netherlands,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/678546-1753350650.jpg?lm=1,mexx meerdink,2030-06-30,678546.0,2026-07-09T08:49:33,2023-07-01,
Peer Koopmeiners,AZ Alkmaar,MF,25.0,2134,0.08,0.0,1.27,0.38,2.616,0.97,1.983,1.603,0.253,0.0,12000000.0,0,0.08,0.0,0.0,1.27,0,2,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.89,82.6,57.78,19.05,35.0,58.97,47.47,51.12,49.82,1.1355140186915889,0.2102803738317757,3.2383177570093458,0.3785046728971962,0.5046728971962616,1.0514018691588785,4.457943925233645,1.9766355140186915,1.9345794392523363,3.8271028037383177,0.0420560747663551,0.3364485981308411,0.2943925233644859,9.336448598130842,0.0,5.0,0.0,0.0,0.0,0.0,29.0,2140.0,Netherlands,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/361074-1721657696.jpg?lm=1,peer koopmeiners,2028-06-30,361074.0,2026-07-09T08:49:33,2021-07-01,
Rio Robbemond,AZ Alkmaar,MF,20.0,69,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.5,0.0,0.0,400000.0,0,0.0,0.0,0.0,0.0,0,0,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.2,89.29,50.0,0.0,33.33,0.0,0.0,20.0,18.18,1.2857142857142856,0.0,0.0,0.0,0.0,2.571428571428571,3.857142857142857,0.0,0.0,2.571428571428571,0.0,0.0,1.2857142857142856,6.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,Netherlands,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/929133-1767972921.jpg?lm=1,rio robbemond,,,,,
Rion Ichihara,AZ Alkmaar,DF,20.0,94,0.0,0.0,1.91,0.96,0.0,2.0,0.0,1.0,2.0,0.0,1500000.0,0,0.0,0.0,0.0,1.91,0,0,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.85,82.69,66.67,0.0,0.0,0.0,55.56,40.0,50.0,0.0,0.0,0.9574468085106382,0.9574468085106382,1.9148936170212765,1.9148936170212765,0.9574468085106382,4.787234042553191,0.0,1.9148936170212765,0.0,0.0,0.0,2.872340425531915,0.0,0.0,0.0,0.0,0.0,0.0,2.0,94.0,Japan,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/936294-1758617690.jpg?lm=1,rion ichihara,2031-06-30,936294.0,2026-07-09T08:49:33,2026-01-31,
Ro-Zangelo Daal,AZ Alkmaar,"MF,FW",21.0,1348,0.07,0.0,1.67,0.6,1.6,0.533,1.267,0.6,2.133,0.067,3000000.0,0,0.07,0.0,0.0,1.67,0,1,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,7.0,80.45,66.67,24.0,42.65,70.0,33.33,55.15,54.02,1.8570375829034635,0.397936624907885,0.6632277081798084,0.6632277081798084,0.0,0.5969049373618276,4.310980103168755,0.1989683124539425,1.3927781871775975,6.0353721444362565,0.1326455416359616,0.5969049373618276,1.9233603537214443,10.876934414148858,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1357.0,Netherlands,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/800995-1753350850.jpg?lm=1,ro-zangelo daal,2030-06-30,800995.0,2026-07-09T08:49:33,2025-01-07,
Rome-Jayden Owusu-Oduro,AZ Alkmaar,GK,21.0,2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0,0.0,0.0,0.0,0.0,0,0,0,66.4,26.1,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,7.02,60.42,33.68,0.0,100.0,0.0,60.0,57.14,58.33,0.087719298245614,0.0,1.0526315789473684,0.0,0.0,0.0,8.991228070175438,0.131578947368421,0.0,0.175438596491228,0.175438596491228,0.0,0.087719298245614,1.5350877192982455,3.114035087719298,6.0,0.9210526315789472,0.4385964912280701,0.4824561403508772,0.0,23.0,2052.0,Netherlands,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/704772-1753350151.jpg?lm=1,rome-jayden owusu-oduro,2030-06-30,704772.0,2026-07-09T08:49:33,2023-07-01,
Seiya Maikuma,AZ Alkmaar,DF,27.0,148,0.0,0.0,0.0,0.0,0.0,1.25,1.25,3.75,1.875,0.0,2000000.0,0,0.0,0.0,0.0,0.0,0,0,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.69,67.21,25.0,0.0,100.0,60.0,71.43,47.37,53.85,1.7419354838709675,0.5806451612903225,2.32258064516129,0.0,0.0,1.161290322580645,2.9032258064516125,2.9032258064516125,1.7419354838709675,5.225806451612903,0.0,0.0,0.5806451612903225,8.129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,7.0,155.0,Japan,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/733438-1721657268.jpg?lm=1,seiya maikuma,2028-06-30,733438.0,2026-07-09T08:49:33,2024-07-01,
Sven Mijnans,AZ Alkmaar,MF,25.0,2348,0.42,0.23,3.22,1.38,3.257,0.69,0.843,0.575,0.958,0.23,15000000.0,0,0.42,0.23,0.6900000000000001,3.22,0,11,6,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,7.2,81.78,53.73,24.1,38.64,47.06,38.46,44.44,43.33,2.068085106382979,0.4212765957446808,1.1106382978723404,0.9191489361702128,0.1914893617021276,0.6127659574468085,4.059574468085106,0.574468085106383,0.6127659574468085,2.9106382978723406,0.076595744680851,0.6127659574468085,0.6510638297872341,12.829787234042554,0.0,7.0,0.0,0.0,0.0,0.0,30.0,2350.0,Netherlands,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/578804-1753350733.jpg?lm=1,sven mijnans,,,,,
Troy Parrott,AZ Alkmaar,FW,23.0,2200,0.57,0.16,3.6,1.76,0.287,0.205,0.451,0.738,1.23,0.328,25000000.0,0,0.57,0.16,0.48,3.6,0,14,4,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,7.01,75.57,73.33,12.5,50.0,50.0,36.67,48.94,43.3,1.0199456029011786,0.2447869446962828,0.7343608340888486,0.6935630099728014,0.0815956482320942,0.2039891205802357,2.4478694469628284,1.795104261106074,0.4895738893925657,2.8150498640072525,0.0407978241160471,0.4895738893925657,0.5711695376246599,7.506799637352674,0.0,1.0,0.0,0.0,0.0,0.0,28.0,2206.0,Ireland,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/552655-1721657549.jpg?lm=1,troy parrott,2029-06-30,552655.0,2026-07-09T08:49:33,2024-07-13,
