player,norm_key,squad,pos,90s,dead_ball_passes_per90,free_kick_passes_per90,throw_ins_per90,corner_kicks_per90,inswing_corners_per90,outswing_corners_per90,straight_corners_per90,sca_sca90,dead_ball_sca_per90,gca_gca90,dead_ball_gca_per90,fouls_per90_fbref,fouled_per90_fbref,pens_won_per90_fbref,pens_conceded_per90_fbref
Andrés García,andres garcia,Aston Villa,DF,1.0,,,,,,,,,,,,1.0,0.0,,
Andy Irving,andy irving,West Ham United,MF,1.8,,,,,,,,,,,,0.5555555555555556,0.0,,
Andy Robertson,andy robertson,Liverpool,DF,13.1,,,,,,,,,,,,0.3053435114503817,0.07633587786259542,,
Angel Gomes,angel gomes,Wolves,"MF,FW",5.1,,,,,,,,,,,,1.3725490196078431,1.7647058823529413,,
Angus Gunn,angus gunn,Nottingham Forest,GK,0.5,,,,,,,,,,,,0.0,0.0,,
Anthony Elanga,anthony elanga,Newcastle United,"FW,MF",14.7,,,,,,,,,,,,0.54421768707483,1.7006802721088436,,
Anthony Gordon,anthony gordon,Newcastle United,FW,19.9,,,,,,,,,,,,0.6532663316582915,2.0100502512562817,,
Antoine Semenyo,antoine semenyo,Bournemouth,MF,20.0,,,,,,,,,,,,1.85,0.7,,
Antoine Semenyo,antoine semenyo,Manchester City,"MF,FW",15.5,,,,,,,,,,,,1.096774193548387,0.45161290322580644,,
Anton Stach,anton stach,Leeds United,MF,26.3,,,,,,,,,,,,1.3688212927756653,0.9125475285171103,,
Antonee Robinson,antonee robinson,Fulham,"DF,MF",16.6,,,,,,,,,,,,0.9036144578313252,0.5421686746987951,,
Antoni Milambo,antoni milambo,Brentford,MF,0.5,,,,,,,,,,,,0.0,0.0,,
Antonín Kinský,antonin kinsky,Tottenham Hotspur,GK,7.0,,,,,,,,,,,,0.0,0.14285714285714285,,
Ao Tanaka,ao tanaka,Leeds United,MF,14.6,,,,,,,,,,,,0.8904109589041096,0.684931506849315,,
Archie Gray,archie gray,Tottenham Hotspur,"MF,DF",16.4,,,,,,,,,,,,0.7317073170731708,0.12195121951219513,,
Armando Broja,armando broja,Burnley,FW,9.6,,,,,,,,,,,,1.4583333333333335,1.6666666666666667,,
Arnaud Kalimuendo,arnaud kalimuendo,Nottingham Forest,FW,1.1,,,,,,,,,,,,1.8181818181818181,0.0,,
Arthur Masuaku,arthur masuaku,Sunderland,DF,1.4,,,,,,,,,,,,2.142857142857143,0.0,,
Ashley Barnes,ashley barnes,Burnley,"FW,MF",0.5,,,,,,,,,,,,4.0,4.0,,
Axel Disasi,axel disasi,West Ham United,DF,13.9,,,,,,,,,,,,0.3597122302158273,0.28776978417266186,,
Axel Tuanzebe,axel tuanzebe,Burnley,DF,13.3,,,,,,,,,,,,0.9774436090225563,0.15037593984962405,,
Ayden Heaven,ayden heaven,Manchester Utd,DF,10.3,,,,,,,,,,,,0.6796116504854368,0.8737864077669902,,
Bafodé Diakité,bafode diakite,Bournemouth,DF,14.2,,,,,,,,,,,,0.5633802816901409,0.28169014084507044,,
Bart Verbruggen,bart verbruggen,Brighton,GK,38.0,,,,,,,,,,,,0.05263157894736842,0.05263157894736842,,
Bashir Humphreys,bashir humphreys,Burnley,"DF,MF",17.5,,,,,,,,,,,,0.8,0.5714285714285714,,
Ben Davies,ben davies,Tottenham Hotspur,DF,1.5,,,,,,,,,,,,1.3333333333333333,0.0,,
Ben Gannon-Doak,ben gannon-doak,Bournemouth,MF,1.3,,,,,,,,,,,,2.3076923076923075,0.7692307692307692,,
Ben White,ben white,Arsenal,DF,7.8,,,,,,,,,,,,0.6410256410256411,0.7692307692307693,,
Ben Winterburn,ben winterburn,Bournemouth,MF,0.1,,,,,,,,,,,,0.0,0.0,,
Bendito Mantato,bendito mantato,Manchester Utd,MF,0.2,,,,,,,,,,,,0.0,0.0,,
Benjamin Šeško,benjamin sesko,Manchester Utd,FW,18.3,,,,,,,,,,,,0.9289617486338797,0.32786885245901637,,
Benoît Badiashile,benoit badiashile,Chelsea,DF,5.2,,,,,,,,,,,,1.1538461538461537,0.3846153846153846,,
Bernardo Silva,bernardo silva,Manchester City,MF,31.9,,,,,,,,,,,,1.1285266457680252,0.6896551724137931,,
Bernd Leno,bernd leno,Fulham,GK,38.0,,,,,,,,,,,,0.0,0.15789473684210525,,
Bertrand Traoré,bertrand traore,Sunderland,"MF,FW",7.0,,,,,,,,,,,,1.5714285714285714,1.7142857142857142,,
Beto,beto,Everton,FW,17.4,,,,,,,,,,,,1.8390804597701151,0.6896551724137931,,
Borna Sosa,borna sosa,Crystal Palace,"DF,MF",1.1,,,,,,,,,,,,3.6363636363636362,0.0,,
Boubacar Kamara,boubacar kamara,Aston Villa,MF,15.7,,,,,,,,,,,,1.019108280254777,1.910828025477707,,
