squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Cagliari,리그,ita.1,2027-01-03,H,Genoa,0,0,0-0,,scheduled,401875057
Cagliari,리그,ita.1,2027-01-06,A,Napoli,0,0,0-0,,scheduled,401874787
Cagliari,리그,ita.1,2027-01-10,H,Sassuolo,0,0,0-0,,scheduled,401874854
Cagliari,리그,ita.1,2027-01-17,H,Como,0,0,0-0,,scheduled,401874846
Cagliari,리그,ita.1,2027-01-24,A,Juventus,0,0,0-0,,scheduled,401875012
Cagliari,리그,ita.1,2027-01-31,H,Parma,0,0,0-0,,scheduled,401875121
Cagliari,리그,ita.1,2027-02-07,A,Inter,0,0,0-0,,scheduled,401874812
Cagliari,리그,ita.1,2027-02-14,H,Lazio,0,0,0-0,,scheduled,401875073
Cagliari,리그,ita.1,2027-02-21,A,Venezia,0,0,0-0,,scheduled,401874797
Cagliari,리그,ita.1,2027-02-28,H,Udinese,0,0,0-0,,scheduled,401875013
Cagliari,리그,ita.1,2027-03-07,A,Milan,0,0,0-0,,scheduled,401875100
Cagliari,리그,ita.1,2027-03-14,H,Fiorentina,0,0,0-0,,scheduled,401875141
Cagliari,리그,ita.1,2027-03-21,A,Sassuolo,0,0,0-0,,scheduled,401874880
Cagliari,리그,ita.1,2027-04-04,H,Napoli,0,0,0-0,,scheduled,401874882
Cagliari,리그,ita.1,2027-04-11,H,Atalanta,0,0,0-0,,scheduled,401875114
Cagliari,리그,ita.1,2027-04-18,A,Bologna,0,0,0-0,,scheduled,401874848
Cagliari,리그,ita.1,2027-04-25,H,Monza,0,0,0-0,,scheduled,401874869
Cagliari,리그,ita.1,2027-05-02,A,Lecce,0,0,0-0,,scheduled,401875131
Cagliari,리그,ita.1,2027-05-09,A,Genoa,0,0,0-0,,scheduled,401874838
Cagliari,리그,ita.1,2027-05-16,H,Torino,0,0,0-0,,scheduled,401875062
Cagliari,리그,ita.1,2027-05-23,A,Frosinone,0,0,0-0,,scheduled,401875071
Cagliari,리그,ita.1,2027-05-30,H,Roma,0,0,0-0,,scheduled,401874888
Como,리그,ita.1,2026-08-22,A,Udinese,0,0,0-0,,scheduled,401874745
Como,리그,ita.1,2026-08-30,A,Napoli,0,0,0-0,,scheduled,401874755
Como,리그,ita.1,2026-09-04,A,Genoa,0,0,0-0,,scheduled,401874744
Como,리그,ita.1,2026-09-13,H,Parma,0,0,0-0,,scheduled,401874933
Como,리그,ita.1,2026-09-20,A,Frosinone,0,0,0-0,,scheduled,401874752
Como,리그,ita.1,2026-10-11,H,Roma,0,0,0-0,,scheduled,401874940
Como,리그,ita.1,2026-10-17,A,Fiorentina,0,0,0-0,,scheduled,401874774
Como,리그,ita.1,2026-10-25,H,Sassuolo,0,0,0-0,,scheduled,401874961
Como,리그,ita.1,2026-10-28,A,Torino,0,0,0-0,,scheduled,401874786
Como,리그,ita.1,2026-11-01,H,Venezia,0,0,0-0,,scheduled,401875002
Como,리그,ita.1,2026-11-08,A,Inter,0,0,0-0,,scheduled,401874808
Como,리그,ita.1,2026-11-22,H,Cagliari,0,0,0-0,,scheduled,401875056
Como,리그,ita.1,2026-11-29,H,Juventus,0,0,0-0,,scheduled,401874994
Como,리그,ita.1,2026-12-06,A,Monza,0,0,0-0,,scheduled,401874975
Como,리그,ita.1,2026-12-13,H,Bologna,0,0,0-0,,scheduled,401874821
Como,리그,ita.1,2026-12-20,A,Milan,0,0,0-0,,scheduled,401875044
Como,리그,ita.1,2027-01-03,H,Lecce,0,0,0-0,,scheduled,401874830
Como,리그,ita.1,2027-01-06,A,Atalanta,0,0,0-0,,scheduled,401874843
Como,리그,ita.1,2027-01-10,H,Lazio,0,0,0-0,,scheduled,401874805
Como,리그,ita.1,2027-01-17,A,Cagliari,0,0,0-0,,scheduled,401874846
Como,리그,ita.1,2027-01-24,H,Napoli,0,0,0-0,,scheduled,401874804
Como,리그,ita.1,2027-01-31,A,Sassuolo,0,0,0-0,,scheduled,401874806
Como,리그,ita.1,2027-02-07,H,Monza,0,0,0-0,,scheduled,401875037
Como,리그,ita.1,2027-02-14,A,Bologna,0,0,0-0,,scheduled,401875116
Como,리그,ita.1,2027-02-21,H,Torino,0,0,0-0,,scheduled,401875143
Como,리그,ita.1,2027-02-28,H,Milan,0,0,0-0,,scheduled,401875077
Como,리그,ita.1,2027-03-07,A,Lecce,0,0,0-0,,scheduled,401875026
Como,리그,ita.1,2027-03-14,H,Udinese,0,0,0-0,,scheduled,401875039
Como,리그,ita.1,2027-03-21,A,Juventus,0,0,0-0,,scheduled,401875083
Como,리그,ita.1,2027-04-04,H,Fiorentina,0,0,0-0,,scheduled,401875065
Como,리그,ita.1,2027-04-11,A,Parma,0,0,0-0,,scheduled,401875111
Como,리그,ita.1,2027-04-18,H,Frosinone,0,0,0-0,,scheduled,401875098
Como,리그,ita.1,2027-04-25,A,Lazio,0,0,0-0,,scheduled,401874873
Como,리그,ita.1,2027-05-02,H,Inter,0,0,0-0,,scheduled,401875128
Como,리그,ita.1,2027-05-09,A,Venezia,0,0,0-0,,scheduled,401875138
Como,리그,ita.1,2027-05-16,H,Atalanta,0,0,0-0,,scheduled,401875130
Como,리그,ita.1,2027-05-23,A,Roma,0,0,0-0,,scheduled,401874887
Como,리그,ita.1,2027-05-30,H,Genoa,0,0,0-0,,scheduled,401875084
Cremonese,코파 이탈리아,ita.coppa_italia,2026-08-17,H,Sampdoria,0,0,0-0,,scheduled,401881676
Fiorentina,리그,ita.1,2026-08-24,A,Roma,0,0,0-0,,scheduled,401874928
Fiorentina,리그,ita.1,2026-08-29,H,Frosinone,0,0,0-0,,scheduled,401874942
Fiorentina,리그,ita.1,2026-09-05,H,Torino,0,0,0-0,,scheduled,401874939
Fiorentina,리그,ita.1,2026-09-11,A,Venezia,0,0,0-0,,scheduled,401874759
Fiorentina,리그,ita.1,2026-09-20,H,Napoli,0,0,0-0,,scheduled,401874934
Fiorentina,리그,ita.1,2026-10-11,A,Genoa,0,0,0-0,,scheduled,401874947
Fiorentina,리그,ita.1,2026-10-17,H,Como,0,0,0-0,,scheduled,401874774
Fiorentina,리그,ita.1,2026-10-25,A,Inter,0,0,0-0,,scheduled,401875036
Fiorentina,리그,ita.1,2026-10-28,H,Atalanta,0,0,0-0,,scheduled,401874969
Fiorentina,리그,ita.1,2026-11-01,A,Sassuolo,0,0,0-0,,scheduled,401874963
