target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Lens,Thorgan Hazard,Attacking Midfield,33,Without ClubWithout Club,2000000.0,,26/04/2026
Lens,Fashion Sakala,Left Winger,29,Al-Fayha FC,3800000.0,,26/04/2026
Lens,Serge-Philippe Raux-Yao,Centre-Back,27,Rapid Vienna,4000000.0,,14/04/2026
Lens,Matthieu Epolo,Goalkeeper,21,Standard Liège,8000000.0,,16/04/2025
Lille,Gjivai Zechiël,Central Midfield,22,Feyenoord Rotterdam,10000000.0,,01/07/2026
Lille,Farès Ghedjemis,Right Winger,23,Frosinone Calcio,7500000.0,,30/06/2026
Lille,Mathys Detourbet,Left Winger,19,AS Monaco,15000000.0,,28/06/2026
Lille,Başar Önal,Left Midfield,22,NEC Nijmegen,7000000.0,,26/06/2026
Lille,Fynn Schenten,Centre-Forward,18,1.FC Köln,1000000.0,,25/06/2026
Lille,Yéli Traoré,Left Winger,19,LOSC Lille U19,,,23/06/2026
Lille,Yvann Titi,Right-Back,20,ESTAC Troyes,2500000.0,,18/06/2026
Lille,Cyriaque Irié,Right Winger,21,SC Freiburg,8000000.0,,17/06/2026
Lille,Maxime Delanghe,Goalkeeper,25,Cercle Brugge,1500000.0,,15/06/2026
Lille,Christ Tapé,Left-Back,20,AC Horsens,800000.0,,15/06/2026
Lille,Martin James,Goalkeeper,18,Without ClubWithout Club,,,14/06/2026
Lille,Aral Şimşir,Left Winger,24,FC Midtjylland,10000000.0,,10/06/2026
Lille,Mathys Tel,Centre-Forward,21,Tottenham Hotspur,22000000.0,,10/06/2026
Lille,Uran Bislimi,Central Midfield,26,FC Lugano,2500000.0,,27/05/2026
Lille,Ilija Despotovic,Centre-Forward,18,FC Lausanne-Sport U19,,,26/05/2026
Lille,Jacques Ekomié,Left-Back,22,Angers SCO,9000000.0,,20/05/2026
Lille,Gabriel Mec,Attacking Midfield,18,Grêmio Foot-Ball Porto Alegrense,16000000.0,,20/05/2026
Lille,Edvin Austbø,Left Winger,21,Viking FK,9000000.0,,20/05/2026
Lille,Kévin Danois,Central Midfield,22,AJ Auxerre,20000000.0,,19/05/2026
Lille,Antoine Sekongo,Central Midfield,22,USL Dunkerque,4000000.0,,19/05/2026
Lille,Khays Guimba-Babot,Right Winger,18,ESTAC Troyes U19,,,19/05/2026
Lille,Gabriel Menegon,Goalkeeper,17,Grêmio Foot-Ball Porto Alegrense,,,13/05/2026
Lille,Pape Moussa Fall,Centre-Forward,22,FC Metz,3500000.0,,11/05/2026
Lille,Anis Hadj Moussa,Right Winger,24,Feyenoord Rotterdam,23000000.0,,05/05/2026
Lille,Thomas Jørgensen,Central Midfield,20,Viborg FF,5000000.0,,08/04/2026
Lorient,Gabin Bernardeau,Attacking Midfield,20,OGC Nice,1200000.0,,03/07/2026
Lorient,Souleymane Faye,Right Winger,23,Sporting CP,3000000.0,,19/06/2026
Lorient,Johann Lepenant,Defensive Midfield,23,FC Nantes,7000000.0,,08/06/2026
Lorient,Robbie Ure,Centre-Forward,22,IK Sirius,5000000.0,,02/06/2026
Lorient,Antoine Sekongo,Central Midfield,22,USL Dunkerque,4000000.0,,19/05/2026
Lorient,Martin Adeline,Attacking Midfield,22,ESTAC Troyes,10000000.0,,18/05/2026
Lorient,Pape Moussa Fall,Centre-Forward,22,FC Metz,3500000.0,,11/05/2026
Lyon,Ime Okon,Centre-Back,22,Hannover 96,2000000.0,,06/07/2026
Lyon,Cláudio Braga,Centre-Forward,26,Heart of Midlothian FC,7000000.0,,23/06/2026
Lyon,Jonathan David,Centre-Forward,26,Juventus FC,30000000.0,20,22/06/2026
Lyon,Loïs Openda,Centre-Forward,26,Juventus FC,25000000.0,22,20/06/2026
Lyon,Han-beom Lee,Centre-Back,24,FC Midtjylland,3000000.0,,16/06/2026
Lyon,Brian Gutiérrez,Attacking Midfield,23,Deportivo Guadalajara,8000000.0,,16/06/2026
Lyon,Hyun-seok Hong,Attacking Midfield,27,1.FSV Mainz 05,2500000.0,,12/06/2026
Lyon,Pablo Pagis,Left Winger,23,FC Lorient,15000000.0,,09/06/2026
Lyon,Vitinho,Right-Back,26,Botafogo de Futebol e Regatas,9000000.0,,05/06/2026
Lyon,Kader Meïté,Centre-Forward,18,Al-Hilal SFC,18000000.0,,01/06/2026
Lyon,Zavier Gozo,Right Winger,19,Real Salt Lake City,6000000.0,,18/05/2026
Lyon,Tomas Bobcek,Centre-Forward,24,Lechia Gdansk,8000000.0,,12/05/2026
Lyon,Oussama Targhalline,Defensive Midfield,24,Feyenoord Rotterdam,16000000.0,,12/05/2026
Lyon,Kévin Danois,Central Midfield,22,AJ Auxerre,20000000.0,,11/05/2026
Lyon,Kaïl Boudache,Right Winger,20,Olympique Lyon,5000000.0,,29/04/2026
Lyon,Virgilio Olaya,Centre-Back,18,SD Aucas,1200000.0,,26/04/2026
Lyon,Melayro Bogarde,Defensive Midfield,24,LASK,4000000.0,,19/04/2026
Lyon,El Chadaille Bitshiabu,Centre-Back,21,RB Leipzig,18000000.0,,15/04/2026
Lyon,Thomas Kristensen,Centre-Back,24,Udinese Calcio,12000000.0,,13/04/2026
Lyon,Louey Ben Farhat,Second Striker,19,Karlsruher SC,10000000.0,,09/03/2026
Marseille,Hervé Koffi,Goalkeeper,29,RC Lens,6000000.0,,29/06/2026
Marseille,Malang Sarr,Centre-Back,27,Without ClubWithout Club,20000000.0,,20/06/2026
Marseille,Cyriaque Irié,Right Winger,21,SC Freiburg,8000000.0,15,17/06/2026
Marseille,Jephthe Malanda,Attacking Midfield,18,Olympique de Marseille B,,,16/06/2026
Marseille,Mohamadou Kanté,Defensive Midfield,20,West Ham United,1000000.0,,15/06/2026
Marseille,Hugo Magnetti,Central Midfield,28,Stade Brestois 29,6000000.0,,13/06/2026
Marseille,Jean-Clair Todibo,Centre-Back,26,West Ham United,22000000.0,,11/06/2026
Marseille,Akor Adams,Centre-Forward,26,Sevilla FC,15000000.0,,09/06/2026
Marseille,Sacha Lung,Centre-Back,18,Olympique de Marseille B,,,02/06/2026
